Algorithm,Goal reached,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence action,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go,Convergence rate Optimal Initial Cost2Go
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0)",True,1.2786269664764405,0.00048307271744988604,0.02197891529284114,2999.0,0.0,0.0,402517.4,2346060.6399999997,1531.6855551972799,0.0,0.0,0.0,0.0,25,622,0.006298041343688965,3.966970421629413e-06,0.0019917254885223044,1962.7,372033.6099999999,609.9455795396831,1.2685812711715698,0.0005458063492511656,0.02336249878012122,399500.0,10750000.0,3278.7192621510003,0.4
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = 0)",True,0.7834574937820434,0.00022066448067846524,0.014854779725006536,2999.0,0.0,0.0,244012.8,1013348.1599999999,1006.6519557424006,0.0,0.0,0.0,0.0,23,32,0.0055566072463989254,1.6639182655353578e-06,0.0012899295583617572,1728.4,122108.43999999999,349.440180860759,0.6537047863006592,0.00048359826700107084,0.021990867809185494,204400.0,35840000.0,5986.651818838306,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.3, gamma = 1, epsilon = 0)",True,0.4261976480484009,9.928883545455847e-05,0.009964378327550519,2999.0,0.0,0.0,134923.5,1606742.85,1267.573607330162,0.0,0.0,0.0,0.0,22,38,0.005301833152770996,1.4927549756293956e-06,0.001221783522408694,1692.2,185693.76,430.9219882995065,0.22147912979125978,0.00020781178396646287,0.01441567840812436,70400.0,11640000.0,3411.744421846396,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0)",True,0.37306668758392336,0.00040480601776891943,0.02011979169298031,2999.0,0.0,0.0,115730.1,9938841.49,3152.592820203713,0.0,0.0,0.0,0.0,26,32,0.005947780609130859,3.0028471746845755e-06,0.0017328725211868804,1798.7,269440.01,519.0761119527656,0.17963557773166233,0.0027246041960549442,0.05219774129265503,54000.0,288444444.4444444,16983.652270475995,0.9
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0)",True,0.35157577991485595,0.00010552641724700606,0.010272605183058777,2999.0,0.0,0.0,109529.8,5510647.56,2347.4768497261052,0.0,0.0,0.0,0.0,22,31,0.007560324668884277,3.670085249098065e-05,0.006058122852087159,1675.4,190214.64,436.1360338243104,0.1593700408935547,0.007844710318843227,0.08857036930510806,49800.0,735960000.0,27128.58271270359,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.25)",True,1.3173349618911743,0.00024870046534090305,0.01577023986313788,2999.0,0.0,0.0,421869.2,1140378.76,1067.8851810939227,0.0,0.0,0.0,0.0,23,29,0.007200384140014648,4.3042926017733396e-06,0.0020746789153440926,2341.6,362376.83999999997,601.9774414378,1.3034404516220093,9.339512025974273e-05,0.009664115078978661,418000.0,18500000.0,4301.162633521313,0.4
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = 0.25)",True,0.8479506492614746,0.00018816868359635918,0.013717459079449051,2999.0,0.0,0.0,273211.9,559363.29,747.9059365989817,0.0,0.0,0.0,0.0,22,30,0.0059595823287963865,1.3411766304329834e-05,0.0036622078455939436,1993.6,900715.8400000001,949.0605038668505,0.66312575340271,0.0005843501348863356,0.02417333520402875,213800.0,72560000.0,8518.21577561874,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.3, gamma = 1, epsilon = 0.25)",True,0.5219146728515625,8.641083229349535e-05,0.009295742697251003,2999.0,0.0,0.0,168343.1,364659.68999999994,603.8705904413627,0.0,0.0,0.0,0.0,22,33,0.006462359428405761,5.28791397812256e-06,0.0022995464722685125,1990.0,366654.2,605.5197767207939,0.2345587968826294,0.0004967454036028584,0.022287785973551934,76400.0,46840000.0,6843.975452907469,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.25)",True,0.4710323095321655,0.0002040673946572724,0.014285215947169732,2999.0,0.0,0.0,150304.9,638891.29,799.3067558828714,0.0,0.0,0.0,0.0,22,30,0.004784512519836426,3.4040629321907547e-06,0.0018450102796978543,1637.8,244465.75999999995,494.43478842007056,0.17287399768829345,0.0012474032227083854,0.03531859599005013,55300.0,107010000.0,10344.563789740001,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.25)",True,0.489168643951416,0.00019572403122083414,0.01399014050039649,2999.0,0.0,0.0,153594.8,1332133.1599999997,1154.1807310815752,0.0,0.0,0.0,0.0,23,161,0.006504511833190918,6.440230373527811e-07,0.0008025104593416718,1936.3,149984.40999999997,387.2782074943024,0.15696794986724855,0.0011535311845256046,0.03396367448503775,49100.0,101490000.0,10074.224535913421,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.5)",True,1.4353282928466797,0.00017781880302209174,0.013334871691249667,2999.0,0.0,0.0,472931.3,1922302.61,1386.471279904492,0.0,0.0,0.0,0.0,22,29,0.008019518852233887,7.862912935365785e-06,0.0028040886104696806,2720.3,806906.2100000001,898.2795834260066,1.3475717306137085,0.0008373291516960534,0.028936640297312567,443600.0,78840000.0,8879.189152169245,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = 0.5)",True,1.028412127494812,0.00015529329248749948,0.012461672940961798,2999.0,0.0,0.0,337065.6,666375.64,816.31834476508,0.0,0.0,0.0,0.0,23,33,0.008756875991821289,5.205536422181467e-06,0.0022815644681186344,3119.2,779573.1599999999,882.9344029994527,0.6871339797973632,0.0005090692387830131,0.02256256277072738,226000.0,32400000.0,5692.099788303083,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.3, gamma = 1, epsilon = 0.5)",True,0.7451104402542115,0.0001414111713194188,0.011891642919269767,2999.0,0.0,0.0,242345.7,902565.61,950.0345309513755,0.0,0.0,0.0,0.0,23,30,0.008194184303283692,5.977662788723138e-06,0.0024449259270421953,2677.6,617085.4400000001,785.5478597768566,0.262706995010376,0.0008620003160785927,0.0293598418946457,85800.0,56960000.0,7547.184905645283,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.5)",True,0.682773208618164,0.0001114980592910797,0.010559264145340797,2999.0,0.0,0.0,224632.0,669611.4,818.297867527467,0.0,0.0,0.0,0.0,22,37,0.007610583305358886,6.438754763280486e-06,0.0025374701502245273,2580.5,594297.25,770.9067712765274,0.16861865520477295,0.00042855553019137464,0.020701582794351126,56000.0,51600000.0,7183.313998427188,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.5)",True,0.6950506448745728,8.794424326254102e-05,0.009377859204666118,2999.0,0.0,0.0,227732.5,1952759.25,1397.4116251126582,0.0,0.0,0.0,0.0,24,30,0.006385421752929688,2.748021793195221e-06,0.00165771583608145,2167.3,369629.00999999995,607.9712246480091,0.14828238487243653,0.0011655649208728391,0.03414037083677972,49300.0,120610000.0,10982.258419833326,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.75)",True,1.934218955039978,0.0005214711689069418,0.022835743230885695,2999.0,0.0,0.0,654523.0,5589095.6,2364.1268155494536,0.0,0.0,0.0,0.0,22,36,0.009926056861877442,1.9282334249624004e-05,0.004391165477367484,3357.4,1904389.2399999998,1379.9961014437686,1.5492043256759644,0.003344157577697047,0.057828691647806164,524500.0,191650000.0,13843.771162512041,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = 0.75)",True,1.6322202205657959,0.00044362021002143594,0.021062293560328037,2999.0,0.0,0.0,549482.2,7765513.76,2786.667141945733,0.0,0.0,0.0,0.0,22,29,0.008104085922241211,4.621582820618641e-06,0.0021497866918879747,2814.4,825948.4400000001,908.8170552977095,0.7916666507720947,0.001895722496444705,0.04353989545743886,268300.0,182810000.0,13520.724832641185,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.3, gamma = 1, epsilon = 0.75)",True,1.4242764472961427,0.0007622849413132826,0.027609508168623408,2999.0,0.0,0.0,476723.7,11464314.010000002,3385.899291178047,0.0,0.0,0.0,0.0,22,32,0.007998514175415038,2.0417163725596768e-05,0.004518535573125077,2788.3,2862070.21,1691.7654122247563,0.29684717655181886,0.00089068658759345,0.029844372796114346,102700.0,96810000.0,9839.207285142436,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.75)",True,1.3809093236923218,0.00018107770436301963,0.013456511597104936,2999.0,0.0,0.0,465512.0,12560319.6,3544.054119225608,0.0,0.0,0.0,0.0,23,29,0.00794830322265625,3.855026275232375e-06,0.001963422082801448,2541.1,357054.89,597.5407015425811,0.2097621440887451,0.0004640222396665195,0.021541175447651866,70100.0,37490000.0,6122.907805936653,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.75)",True,1.4178116083145142,0.0003856062096298274,0.019636858446040382,2999.0,0.0,0.0,475307.6,4900999.04,2213.820010750648,0.0,0.0,0.0,0.0,22,66,0.008231139183044434,1.3884942364370546e-05,0.0037262504430553975,2767.1,900739.49,949.0729634754116,0.18187360763549804,0.0005657015943802435,0.023784482218039634,59700.0,61210000.0,7823.68199762746,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.9)",True,3.7083311796188356,0.004824548439751766,0.06945896946940522,2999.0,0.0,0.0,1272329.3,65831835.81,8113.682013118335,0.0,0.0,0.0,0.0,22,28,0.008251142501831055,3.424835299256302e-05,0.005852209240326513,2779.2,2578592.56,1605.7996637189833,1.9743425130844117,0.018500988580001942,0.1360183391311699,681400.0,2676440000.0,51734.32129640825,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = 0.9)",True,3.5973090887069703,0.0035139271840586165,0.05927838715804114,2999.0,0.0,0.0,1233127.9,216056061.69,14698.845590385661,0.0,0.0,0.0,0.0,22,40,0.007118654251098633,2.51444024547709e-05,0.005014419453413416,2438.2,2815912.5599999996,1678.0681035047414,0.9815991401672364,0.0035627711997767617,0.05968895375005966,339900.0,368890000.0,19206.509313251066,1.0
