Algorithm,Goal reached,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Shortest Path,Longest Path
"Stochastic-problem (0.9 success) Q-learning (converging, alpha_zero = 1, gamma = 1, epsilon = 1, omega = 0.75, decay_rate = 1, decay_function = inverse_time_decay)",FALSE,9.895389485359193,0.5591917355271454,0.7477912379315135,4341.1,173823.49,416.9214434398883,2131262.9,41672848399.490005,204139.2867614904,2131000,41689000000,204178.84317431127,31,100002
"Stochastic-problem (0.9 success) Q-learning (converging, alpha_zero = 1, gamma = 1, epsilon = 1, omega = 0.75, decay_rate = 0.1, decay_function = inverse_time_decay)",TRUE,40.833657598495485,4.570451413784545,2.1378614112670036,19777.3,442358.01000000007,665.1,9707766.1,108341826766.29001,329153.19650018594,872000,6.84346E+12,2616000,30,43
"Stochastic-problem (0.9 success) Q-learning (converging, alpha_zero = 1, gamma = 1, epsilon = 1, omega = 0.75, decay_rate = 0.01, decay_function = inverse_time_decay)",TRUE,44.26585421562195,0.086192327,0.29358529751776485,19999,0,0,9817248.7,3771143.6100000003,1941.9432561225883,0,0,0,30,35
"Stochastic-problem (0.9 success) Q-learning (converging, alpha_zero = 1, gamma = 1, epsilon = 1, omega = 0.75, decay_rate = 0.001, decay_function = inverse_time_decay)",TRUE,41.255078411102296,0.5815363917972968,0.7625853341084503,19999,0,0,9816530.5,39865513.65,6313.914289091989,0,0,0,30,40
"Stochastic-problem (0.9 success) Q-learning (converging, alpha_zero = 1, gamma = 1, epsilon = 1, omega = 0.875, decay_rate = 1, decay_function = inverse_time_decay)",FALSE,2.902662515640259,0.049342164,0.2221309612149095,1341.8,8984.36,94.78586392495455,659270.1,2189667988,46793.88836258428,659000,2189000000,46786.75026115834,290,100002
"Stochastic-problem (0.9 success) Q-learning (converging, alpha_zero = 1, gamma = 1, epsilon = 1, omega = 0.875, decay_rate = 0.1, decay_function = inverse_time_decay)",TRUE,23.724648451805116,3.5216540733967285,1.8766070641977048,11272.2,306523.16000000003,553.6453377388814,5530236.7,72918136214,270033.5834932574,5530000,72940000000,270074.0639158081,30,40
"Stochastic-problem (0.9 success) Q-learning (converging, alpha_zero = 1, gamma = 1, epsilon = 1, omega = 0.875, decay_rate = 0.01, decay_function = inverse_time_decay)",TRUE,44.80685403347015,0.5914115386007148,0.769032859,19999,0,0,9817423.8,37850194.36,6152.251161973152,0,0,0,31,37
"Stochastic-problem (0.9 success) Q-learning (converging, alpha_zero = 1, gamma = 1, epsilon = 1, omega = 0.875, decay_rate = 0.001, decay_function = inverse_time_decay)",TRUE,44.06508016586304,9.179817774655158,3.0298214096964786,19999,0,0,9815705.2,16715607.16,4088.472472696863,0,0,0,30,38
"Stochastic-problem (0.9 success) Q-learning (converging, alpha_zero = 1, gamma = 1, epsilon = 1, omega = 1, decay_rate = 1, decay_function = inverse_time_decay)",FALSE,1.4985946416854858,0.057594506,0.23998855373469707,566.6,3008.84,54.85289418070846,278275.9,718755422.3,26809.61436294823,278000,716000000,26758.176320519306,1059,100002
"Stochastic-problem (0.9 success) Q-learning (converging, alpha_zero = 1, gamma = 1, epsilon = 1, omega = 1, decay_rate = 0.1, decay_function = inverse_time_decay)",TRUE,12.310261464118957,1.5375160774397436,1.2399661597962033,5404.4,23444.64,153.1164262905845,2651276.7,5490013661.610001,74094.62640171689,2651000,5489000000,74087.78576796583,30,281
"Stochastic-problem (0.9 success) Q-learning (converging, alpha_zero = 1, gamma = 1, epsilon = 1, omega = 1, decay_rate = 0.01, decay_function = inverse_time_decay)",TRUE,33.45245735645294,30.99296839222536,5.567132869999185,15048.5,6726474.65,2593.5448039314842,7387203.5,1.62502E+12,1274763.2738916078,7387000,1.62496E+12,1274739.581247872,30,42
"Stochastic-problem (0.9 success) Q-learning (converging, alpha_zero = 1, gamma = 1, epsilon = 1, omega = 1, decay_rate = 0.001, decay_function = inverse_time_decay)",TRUE,43.157759165763856,1.8197613080186492,1.3489852882884414,19999,0,0,9814248.8,31312339.159999996,5595.742949778876,0,0,0,30,38
"Stochastic-problem (0.9 success) Q-learning (converging, alpha_zero = 1, gamma = 1, epsilon = 1, omega = 2, decay_rate = 1, decay_function = inverse_time_decay)",FALSE,0.3479645013809204,0.003379176,0.058130676249097984,40.2,0.16,0.4,20178.3,21807.010000000002,147.67196754970118,20000,0,0,36060,100002
"Stochastic-problem (0.9 success) Q-learning (converging, alpha_zero = 1, gamma = 1, epsilon = 1, omega = 2, decay_rate = 0.1, decay_function = inverse_time_decay)",FALSE,0.8308910369873047,0.028841651621703473,0.1698283,256.3,207.60999999999999,14.408677940741129,126211.5,44454075.45,6667.388952956022,126000,44000000,6633.249581,580,100002
"Stochastic-problem (0.9 success) Q-learning (converging, alpha_zero = 1, gamma = 1, epsilon = 1, omega = 2, decay_rate = 0.01, decay_function = inverse_time_decay)",FALSE,5.639006114006042,0.073563854,0.2712265725566726,2274.4,7705.44,87.78063567780767,1116281.1,1840638037.2899997,42902.65769494938,1116000,1844000000,42941.82110716778,35,100002
"Stochastic-problem (0.9 success) Q-learning (converging, alpha_zero = 1, gamma = 1, epsilon = 1, omega = 2, decay_rate = 0.001, decay_function = inverse_time_decay)",TRUE,22.247530913352968,3.2725342148666465,1.8090147083057802,10263.5,102201.05,319.6889894882212,5040170.5,24752374259,157328.87293453162,5040000,24760000000,157353.10610216754,30,37
"Stochastic-problem (0.9 success) Q-learning (converging, alpha_zero = 0.1, gamma = 1, epsilon = 1, omega = 0.75, decay_rate = 1, decay_function = inverse_time_decay)",FALSE,0.6232590675354004,0.001188979,0.03448157,186.9,66.09,8.129575634681062,92242.1,15594101.49,3948.9367543681933,92000,16000000,4000,67627,100002
"Stochastic-problem (0.9 success) Q-learning (converging, alpha_zero = 0.1, gamma = 1, epsilon = 1, omega = 0.75, decay_rate = 0.1, decay_function = inverse_time_decay)",FALSE,4.366121935844421,0.081692746,0.28581942922522496,1782.4,2317.04,48.13564168056763,875269,548694171.8,23424.221903832793,875000,545000000,23345.235059857503,67,100002
"Stochastic-problem (0.9 success) Q-learning (converging, alpha_zero = 0.1, gamma = 1, epsilon = 1, omega = 0.75, decay_rate = 0.01, decay_function = inverse_time_decay)",TRUE,37.764770698547366,13.684996111658492,3.6993237370712087,16262,769134.8,877.0033067212461,7986326.1,184322347760.09003,429327.7859166467,7986000,1.84364E+11,429376.2918466738,32,43
"Stochastic-problem (0.9 success) Q-learning (converging, alpha_zero = 0.1, gamma = 1, epsilon = 1, omega = 0.75, decay_rate = 0.001, decay_function = inverse_time_decay)",TRUE,44.486953711509706,11.813236646979528,3.437038935912645,19999,0,0,9814208.3,46869096.410000004,6846.100817983913,0,0,0,30,41
"Stochastic-problem (0.9 success) Q-learning (converging, alpha_zero = 0.1, gamma = 1, epsilon = 1, omega = 0.875, decay_rate = 1, decay_function = inverse_time_decay)",FALSE,0.47431249618530275,0.004196955,0.064783909,93.8,101.56,10.077698149875298,46207.3,23234113.809999995,4820.177777841808,46000,24000000,4898.979485566356,40365,100002
"Stochastic-problem (0.9 success) Q-learning (converging, alpha_zero = 0.1, gamma = 1, epsilon = 1, omega = 0.875, decay_rate = 0.1, decay_function = inverse_time_decay)",FALSE,2.1312647819519044,0.052688535200823026,0.22953983358193633,848.4,291.84000000000003,17.083325203250098,417301.4,82620333.44,9089.572786440516,417000,81000000,9000,188,100002
"Stochastic-problem (0.9 success) Q-learning (converging, alpha_zero = 0.1, gamma = 1, epsilon = 1, omega = 0.875, decay_rate = 0.01, decay_function = inverse_time_decay)",TRUE,19.894264125823973,0.5731861200126923,0.7570905626229218,8621.5,76555.45,276.6865555100211,4233298.4,18777595907,137031.3683316342,4233000,18801000000,137116.73858431727,31,41
"Stochastic-problem (0.9 success) Q-learning (converging, alpha_zero = 0.1, gamma = 1, epsilon = 1, omega = 0.875, decay_rate = 0.001, decay_function = inverse_time_decay)",TRUE,41.572176170349124,0.9377248088965849,0.9683619204081627,19999,0,0,9819160.7,21152493.21,4599.183972184631,0,0,0,30,39
"Stochastic-problem (0.9 success) Q-learning (converging, alpha_zero = 0.1, gamma = 1, epsilon = 1, omega = 1, decay_rate = 1, decay_function = inverse_time_decay)",FALSE,0.3565019369125366,0.002999067,0.054763737166653476,60.4,0.24,0.4898979485566356,30192.6,13449.24,115.97085840848122,30000,0,0,15490,100002
"Stochastic-problem (0.9 success) Q-learning (converging, alpha_zero = 0.1, gamma = 1, epsilon = 1, omega = 1, decay_rate = 0.1, decay_function = inverse_time_decay)",FALSE,1.1802918910980225,0.023123649377578204,0.15206462237344426,492.8,264.76000000000005,16.271447384913245,242274.8,56293107.36,7502.873273619914,242000,56000000,7483.314773547882,819,100002
"Stochastic-problem (0.9 success) Q-learning (converging, alpha_zero = 0.1, gamma = 1, epsilon = 1, omega = 1, decay_rate = 0.01, decay_function = inverse_time_decay)",TRUE,11.664439010620118,0.16566010424380467,0.4070136413485483,5126.2,42970.560000000005,207.29341523550622,2517223.4,10113389481.640001,100565.3493089941,2517000,10121000000,100603.18086422516,32,32631
"Stochastic-problem (0.9 success) Q-learning (converging, alpha_zero = 0.1, gamma = 1, epsilon = 1, omega = 1, decay_rate = 0.001, decay_function = inverse_time_decay)",TRUE,43.65973038673401,11.180108406511977,3.3436669102217667,19999,0,0,9813939.1,39570206.29000001,6290.485377933885,0,0,0,31,37
"Stochastic-problem (0.9 success) Q-learning (converging, alpha_zero = 0.1, gamma = 1, epsilon = 1, omega = 2, decay_rate = 1, decay_function = inverse_time_decay)",FALSE,0.2808156251907349,0.002971793,0.054514156248528324,19.7,0.41000000000000003,0.6403124237432849,10121.7,15634.410000000003,125.03763433462744,10000,0,0,23444,100002
"Stochastic-problem (0.9 success) Q-learning (converging, alpha_zero = 0.1, gamma = 1, epsilon = 1, omega = 2, decay_rate = 0.1, decay_function = inverse_time_decay)",FALSE,0.39829168319702146,0.000952112,0.030856308855180068,76.9,59.89000000000001,7.738862965578342,38255.1,16406954.290000001,4050.5498750169713,38000,16000000,4000,100002,100002
