Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Shortest Path,Longest Path
"Normal Q-learning (reward, alpha = 0.001, gamma = 0.01 and termination goal, initial values = 0)",False,True,1.6190599918365478,0.0027948922110726925,0.052866740121485574,999.0,0.0,0.0,477611.63,1735698.1531000002,1317.458975869837,2,20
"Normal Q-learning (reward, alpha = 0.01, gamma = 0.001 and termination goal, initial values = 0)",False,True,1.645623276233673,0.0054999868769349345,0.07416189639521722,999.0,0.0,0.0,477832.14,1433718.7004000002,1197.3799315171439,2,14
"Normal Q-learning (reward, alpha = 0.01, gamma = 0.01 and termination goal, initial values = 0)",False,True,1.6498163771629333,0.005603287671600873,0.07485511119222837,999.0,0.0,0.0,477379.44,1592186.8464,1261.8188643383012,2,19
"Normal Q-learning (reward, alpha = 0.1, gamma = 0.1 and termination goal, initial values = 0)",False,True,1.3480121088027954,0.002341034273598757,0.04838423579637026,999.0,0.0,0.0,409460.61,2581717.0579,1606.7722482978102,9,9
"Normal Q-learning (reward, alpha = 0.3, gamma = 0.1 and termination goal, initial values = 0)",False,True,1.451967442035675,0.010704272036610262,0.10346145193554102,999.0,0.0,0.0,453644.27,1582835.9570999998,1258.108086413882,9,9
"Normal Q-learning (reward, alpha = 0.3, gamma = 0.5 and termination goal, initial values = 0)",True,False,0.3270905566215515,0.0006315713958632102,0.02513108425562276,999.0,0.0,0.0,87024.97,51740.8691,227.466193312325,22,22
"Normal Q-learning (reward, alpha = 0.3, gamma = 0.6 and termination goal, initial values = 0)",True,False,0.28102234125137326,0.00028543303646831077,0.01689476358130858,999.0,0.0,0.0,83038.6,46469.2,215.56715890877254,22,22
"Normal Q-learning (reward, alpha = 0.6, gamma = 0.6 and termination goal, initial values = 0)",True,False,0.18377843379974365,0.0001437319808028178,0.011988827332263061,999.0,0.0,0.0,53048.24,17179.8424,131.07189782710861,22,22
"Normal Q-learning (reward, alpha = 0.9, gamma = 0.6 and termination goal, initial values = 0)",True,False,0.1463949775695801,0.00010037736294398202,0.01001885038035712,999.0,0.0,0.0,42683.04,22290.058399999998,149.2985545810809,22,22
"Normal Q-learning (reward, alpha = 0.999, gamma = 0.6 and termination goal, initial values = 0)",True,False,0.1443863320350647,9.937460833845649e-05,0.009968681374106432,999.0,0.0,0.0,41182.84,28281.5344,168.17114615771638,22,22
"Normal Q-learning (reward, alpha = 0.999, gamma = 0.9 and termination goal, initial values = 0)",True,False,0.13868094444274903,7.462815734006653e-05,0.008638759016205194,999.0,0.0,0.0,41057.33,25317.241100000003,159.1139249091669,22,22
"Normal Q-learning (reward, alpha = 0.999, gamma = 0.9 and termination goal, initial values = -1e4)",False,True,1.4924349236488341,0.0031891590920245733,0.056472640207666694,999.0,0.0,0.0,500000.0,0.0,0.0,9,9
