Algorithm,Goal reached,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Shortest Path,Longest Path
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.99)",TRUE,0.004753325,1.3705047512019062e-06,0.001170686,16.31,10.473899999999999,3.2363405259644726,1055.97,2982.629099999999,54.61345163968305,1000,0,0,7,680
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.99)",TRUE,0.004595325,1.4910381011020487e-06,0.001221081,17.87,10.533100000000005,3.245473771269767,1044.96,1825.0983999999999,42.7211704,1000,0,0,8,1891
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.99)",FALSE,0.020849733,0.003002585,0.054795847,21.4,13.4,3.6606010435446255,1042.77,1836.8371000000002,42.85833757858557,1000,0,0,6,100002
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.99)",FALSE,0.096969559,0.010329924,0.10163623468381565,22.02,11.4796,3.388155840571682,1028.98,876.1596,29.599993243242473,1000,0,0,6,100002
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.99)",FALSE,0.10003727197647094,0.010236633344876346,0.10117624891681025,21.66,10.8644,3.2961189298931552,1044.4,1291.42,35.936332589734306,1000,0,0,6,100002
"Stochastic-problem (0.9999 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.99)",FALSE,0.15845137357711792,0.008671499,0.093120885,22.19,12.973899999999997,3.601930038,1039.2,1887.0799999999997,43.440534066698575,1000,0,0,8,100002
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.99)",TRUE,0.004397306,5.574581615746865e-07,0.000746631,16.16,9.934400000000002,3.151888322894706,1052.34,2185.3244,46.747453406576064,1000,0,0,8,652
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.99)",TRUE,0.00451474,1.241145067405114e-06,0.001114067,18.5,11.79,3.433656942677879,1040.54,1036.6084,32.19640352585984,1000,0,0,6,2677
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.99)",FALSE,0.008019156,0.000614831,0.024795788577400165,20.68,12.557599999999997,3.5436704135683947,1039.95,1291.5275,35.93782825937038,1000,0,0,6,100002
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.99)",FALSE,0.052996950149536134,0.006379633,0.079872605,22.07,13.625099999999998,3.691219310742725,1037.46,1064.6484,32.62895033555324,1000,0,0,6,100002
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.99)",FALSE,0.057934008,0.007507404,0.086645274,22.31,9.1339,3.022234272851792,1038.04,1168.4583999999998,34.182720781119805,1000,0,0,6,100002
"Stochastic-problem (0.9999 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.99)",FALSE,0.12915067195892335,0.009932841,0.099663639,22.44,17.0864,4.133569885704124,1039,1179.66,34.34617882676325,1000,0,0,6,100002
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.99)",TRUE,0.23116629600524902,0.000107126,0.010350148,999,0,0,59149.63,2121589.953,1456.5678676601376,70000,0,0,6,43
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.99)",TRUE,0.068633893,0.00075583,0.027492358,348.91,18566.8819,136.26034602920984,17935.87,49910422.333100006,7064.730874782139,17890,49917900,7065.260080138593,6,19
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.99)",TRUE,0.036471634,0.000434538,0.020845578983394928,194.71,11770.8859,108.49371364277286,8896.11,23705456.997899994,4868.8250120434595,8860,23740400,4872.412133635659,6,51
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.99)",TRUE,0.028173149,0.000264192,0.016253984,159.73,8785.597099999999,93.73151604449806,7059.07,16660306.31,4081.703848284439,7030,16629100,4077.879351,6,698
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.99)",TRUE,0.025021488666534423,0.000247577,0.015734589808421507,149.57,9137.225100000001,95.58883355287898,6553.78,16724260.09,4089.5305466031186,6520,16749600,4092.627517866731,6,4387
