Algorithm,Goal reached,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Shortest Path,Longest Path
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.9)",True,2.0676525092124938,0.054597120546199786,0.23366026736738915,9999.0,0.0,0.0,471742.09,12317872.261900002,3509.6826440434756,0.0,0.0,0.0,6,30
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.9)",True,1.5205781769752502,0.011978899920277009,0.10944816088119987,9999.0,0.0,0.0,373811.58,6912275.5036,2629.1206711750606,0.0,0.0,0.0,6,19
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.9)",True,1.2374935054779053,0.010813681942984113,0.1039888548979366,9999.0,0.0,0.0,310968.93,5379732.005100001,2319.424929826357,0.0,0.0,0.0,6,13
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.9)",True,0.7407316946983338,0.010752007833965642,0.10369188894974207,6243.42,183618.0036,428.50671359968214,181541.52,185231513.10959998,13609.978438983655,181520.0,185249600.0,13610.6428944411,6,8
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.9)",True,0.6921151232719421,0.0067937541207184655,0.08242423260618485,6101.18,226480.08759999997,475.89924101641515,176732.63,221596937.51309997,14886.132389344788,176710.0,221565900.0,14885.089855288075,6,6
"Stochastic-problem (0.9999 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.9)",True,0.6867629766464234,0.015059410509417717,0.12271678984319023,5716.82,169609.1276,411.8362873764283,163324.98,181141411.83960006,13458.878550592544,163300.0,181110000.0,13457.711543943866,6,6
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.9)",True,1.9180393195152283,0.018655549147783283,0.13658531819995617,9999.0,0.0,0.0,472354.15,9981090.947500002,3159.2864617663276,0.0,0.0,0.0,6,41
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.9)",True,1.5259647703170776,0.022969150485699884,0.1515557669166696,9999.0,0.0,0.0,374902.79,9384582.0659,3063.426523665942,0.0,0.0,0.0,6,19
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.9)",True,1.2430684757232666,0.01594175524489592,0.12626066388585133,9999.0,0.0,0.0,312163.39,5003087.6779000005,2236.758296709772,0.0,0.0,0.0,6,14
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.9)",True,0.35637089490890506,0.004702525593779291,0.06857496331591648,3011.69,86428.2939,293.9868940956382,87394.04,83624256.59840001,9144.629932282662,87370.0,83493100.0,9137.455882246437,6,6
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.9)",True,0.34183201551437375,0.003483922662384083,0.059024763128572424,3043.8,81299.18000000001,285.1301106512604,88429.19,77459376.8539,8801.100888746816,88410.0,77461900.0,8801.24423022109,6,7
"Stochastic-problem (0.9999 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.9)",True,0.318732762336731,0.002844837303250074,0.053337016257474265,2853.41,76780.7819,277.09345336907546,81363.71,73434400.6459,8569.3874136895,81340.0,73364400.0,8565.30209624856,6,6
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.9)",True,1.9597570657730103,0.04741948057147113,0.2177601445891124,9999.0,0.0,0.0,474289.15,14926843.847500002,3863.5273840753352,0.0,0.0,0.0,6,33
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.9)",True,1.5338112354278564,0.036677169934196174,0.19151284535037374,9999.0,0.0,0.0,377028.99,5204456.4299,2281.3277778302704,0.0,0.0,0.0,6,25
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.9)",True,1.238106758594513,0.01910516174045444,0.13822142287089378,9999.0,0.0,0.0,314332.92,5257307.9536,2292.8820191191694,0.0,0.0,0.0,6,14
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.9)",True,0.14379833221435548,0.0011818580228278733,0.03437816200479417,1206.83,33061.001099999994,181.82684372776203,34970.5,31513687.23,5613.705303095274,34950.0,31507500.0,5613.154193499409,6,6
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.9)",True,0.1509458088874817,0.001192395423588431,0.03453107909678513,1201.27,25798.2971,160.6184830584575,34861.68,24224364.037600003,4921.825274997072,34840.0,24214400.0,4920.81294096819,6,6
