Algorithm,Goal reached,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Shortest Path,Longest Path
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.9)",TRUE,0.9282639193534851,0.000861851,0.029357303,4999,0,0,236294.06,5440185.476400001,2332.420518774434,100000,0,0,6,41
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.9)",TRUE,0.7293083024024963,0.000938041,0.030627449332436132,4999,0,0,187431.86,3277611.6404000004,1810.4175320627007,100000,0,0,6,23
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.9)",TRUE,0.5979104042053223,0.000555272,0.023564201268018094,4999,0,0,155440.2,2595608.36,1611.0891843718646,100000,0,0,6,12
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.9)",TRUE,0.5540348958969116,0.000853779,0.029219499170235884,4999,0,0,144659.81,4730747.394,2175.028136346746,100000,0,0,6,6
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.9)",TRUE,0.6225365734100342,0.013252217504678492,0.11511827615404294,4999,0,0,144832.83,4349757.221,2085.6071588628574,100000,0,0,6,6
"Stochastic-problem (0.9999 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.9)",TRUE,0.6003976535797119,0.009190079,0.095864901,4995.83,437.7411000000001,20.922263261894017,142468.17,4250880.201,2061.766282,4150,557107500,23603.124793128558,6,6
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.9)",TRUE,1.0220992517471315,0.020590786804259523,0.14349490166643386,4999,0,0,236459.71,6489481.345899999,2547.4460437661874,100000,0,0,6,48
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.9)",TRUE,0.8524655055999756,0.017567597856435076,0.1325428151822462,4999,0,0,187692.12,3260888.446,1805.793024020195,100000,0,0,6,18
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.9)",TRUE,0.638333421,0.007897928,0.088870288,4999,0,0,156118.03,2777430.0690999995,1666.5623507987932,100000,0,0,6,11
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.9)",TRUE,0.3476130962371826,0.004699027,0.068549453,3026.1,91084.05,301.80134194532667,87920.48,85524459.91,9247.943550303495,87900,85530000,9248.243076,6,6
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.9)",TRUE,0.3541895341873169,0.004527892,0.067289616,3045.74,80432.7724,283.6067213589974,88587.72,77130123.94,8782.375757253842,88570,77125100,8782.089728532725,6,6
"Stochastic-problem (0.9999 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.9)",TRUE,0.3144773745536804,0.003128749,0.055935221,2837.42,67083.40359999999,259.00464011287517,80981.5,53778323.25,7333.370524526904,80960,53798400,7334.739259,6,6
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.9)",TRUE,1.0584519743919372,0.029121379522937755,0.17064987407829446,4999,0,0,237274.24,7461797.282,2731.6290528547247,100000,0,0,6,43
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.9)",TRUE,0.7734231448173523,0.013237134618115414,0.11505274711242411,4999,0,0,188343.61,4054412.1178999995,2013.5570808646075,100000,0,0,6,17
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.9)",TRUE,0.659702079,0.011693097082988123,0.10813462481087231,4999,0,0,157390.57,3544918.885,1882.7954974186655,100000,0,0,6,12
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.9)",TRUE,0.1324595332145691,0.000682892,0.026132199339229455,1206.84,35698.6144,188.94076955490576,35164.99,32157086.109899998,5670.721833,35140,32140400,5669.250391365687,6,6
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.9)",TRUE,0.14669401168823243,0.001498515,0.038710656526715674,1185,26605.3,163.11131168622242,34329.3,25041275.610000003,5004.125858728975,34310,25093900,5009.381199309951,6,6
"Stochastic-problem (0.9999 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.9)",TRUE,0.1324622368812561,0.001029573,0.032086966,1135.32,19720.457599999994,140.42954674853863,32242.58,15832521,3979.0100532167544,32220,15811600,3976.380263505994,6,7
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = 0.9)",TRUE,0.9673901104927063,0.018355247136635507,0.13548153799184415,4999,0,0,239598.56,6594004.086399999,2567.8792974748635,100000,0,0,6,40
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = 0.9)",TRUE,0.786158652,0.016774977,0.12951824924713606,4999,0,0,189539.94,3697183.256,1922.8060891311948,100000,0,0,6,21
