Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.1394765543937683,7.458013249135433e-05,0.008635978953850822,999.0,0.0,0.0,32774.0,0.0,0.0,0.0,0.0,0.0,0.0,18,18,0.009456021785736084,4.8850031831250365e-06,0.002210204330627609,2131.0,0.0,0.0,0.08533765554428101,3.984156830512689e-05,0.0063120177681250935,20000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.25",True,False,0.19291905164718628,0.00015823351006858391,0.01257909019240199,999.0,0.0,0.0,45211.63,71981.7931,268.2942285998713,0.0,0.0,0.0,0.0,18,18,0.016947879791259765,1.0209954789752373e-05,0.003195301987254471,4065.12,334846.7856,578.6594729199549,0.08869607210159301,0.00011122094272342907,0.010546134017896277,21100.0,4290000.0,2071.231517720798
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.3018004727363586,0.0004194317510123881,0.02048003298367432,999.0,0.0,0.0,72344.8,355761.3,596.4572910108485,0.0,0.0,0.0,0.0,18,18,0.022235326766967774,3.404446296267451e-05,0.005834763316765686,5268.88,724588.8655999999,851.2278576268518,0.1092038369178772,0.0001828218935794382,0.013521164653218235,26100.0,4290000.0,2071.231517720798
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.75",True,False,0.7033070683479309,0.0008492399759056467,0.02914172225359453,999.0,0.0,0.0,180586.8,5100998.06,2258.538921515412,0.0,0.0,0.0,0.0,18,18,0.02452812910079956,4.32468840441004e-05,0.006576236312975713,6377.58,2093404.9836,1446.860388427301,0.13995668888092042,0.00014880148026406913,0.012198421220144397,36200.0,4560000.0,2135.415650406262
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",True,False,1.107399730682373,0.04484140267387064,0.2117578869224725,541.57,10492.6451,102.43361313553281,302732.71,2938326931.1459,54206.33663277661,302300.0,2940210000.0,54223.703303997965,1.0,18,18,0.015714390277862547,9.329308864182052e-05,0.009658834745548787,4393.12,5743838.465600002,2396.6306485564273,0.17939460754394532,0.0002232647038220875,0.014942044834027488,49800.0,6960000.0,2638.181191654584
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.4905953812599182,0.0037176641386134344,0.06097265074288172,105.99,140.4899,11.852843540686766,139372.71,138555311.5659,11770.952024619759,138300.0,137610000.0,11730.72887761029,1.0,18,18,0.006428680419921875,4.905862331011121e-05,0.00700418612760335,1729.18,2561554.0875999997,1600.485578691667,0.2482833170890808,0.0012007734892453016,0.03465217870849251,71050.0,47647500.0,6902.716856426895
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.47115957260131835,0.0022191907876577717,0.04710828788714117,105.93,117.1451,10.823358998019053,136706.64,102489772.15040001,10123.723235569018,135850.0,103027500.0,10150.246302430302,1.0,18,18,0.005545985698699951,3.394532561785013e-05,0.005826261718962694,1431.76,1352085.3423999997,1162.7920460684275,0.24601648330688478,0.000963932369486065,0.03104726025732488,71050.0,32147500.0,5669.876541865793
Model-free Dijkstra,True,False,0.0036418676376342774,1.6445300320242496e-05,0.004055280547661591,279.0,0.0,0.0,5368.0,0.0,0.0,1074.0,0.0,0.0,1.0,18,18,,,,,,,,,,,,
Model-free Value Iteration,True,False,0.018924615383148193,1.7601679524085512e-05,0.004195435558328302,18.0,0.0,0.0,31654.0,0.0,0.0,27360.0,0.0,0.0,1.0,18,18,,,,,,,,,,,,
Model-free Synchronous Value Iteration,True,False,0.02994871377944946,3.856662912709794e-05,0.006210203630083151,29.0,0.0,0.0,48374.0,0.0,0.0,44080.0,0.0,0.0,1.0,18,18,,,,,,,,,,,,
