Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.0035666227340698242,9.971750404247358e-07,0.0009985865212512814,244.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1.0,5,5,6.12187385559082e-05,5.796832494411321e-08,0.00024076612083952594,14.0,0.0,0.0,0.0035562562942504884,9.987902489910996e-07,0.0009993949414476239,1000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.25",True,False,0.01634577751159668,1.7350980059200084e-05,0.004165450763026744,941.57,133.1651,11.539718367447275,5001.9,3.79,1.9467922333931784,5000.0,0.0,0.0,1.0,5,5,1.8453598022460938e-06,1.677535919952788e-10,1.2951972513686045e-05,16.16,12.294399999999998,3.5063371201297797,0.01634577751159668,1.7350980059200084e-05,0.004165450763026744,5000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.016460609436035157,3.545075554370669e-05,0.005954053706820815,662.62,218.43559999999997,14.779566976065299,5004.2,20.2,4.494441010848846,5000.0,0.0,0.0,1.0,5,5,8.320808410644532e-07,6.854349408058623e-11,8.27909983516241e-06,19.62,51.33559999999999,7.164886600637863,0.016459717750549316,3.545794970798396e-05,0.005954657816195987,5000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.75",True,False,0.015614840984344482,2.3064340028776086e-05,0.004802534750397553,411.69,167.37390000000002,12.937306520292392,5009.08,78.0336,8.833662886934276,5000.0,0.0,0.0,1.0,5,5,2.1262168884277345e-05,4.129997635118345e-08,0.00020322395614489805,21.68,158.7776,12.600698393343125,0.015614840984344482,2.3064340028776086e-05,0.004802534750397553,5000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",True,False,0.015966455936431884,2.170586243898356e-05,0.004658955080163744,281.98,227.33959999999996,15.077784983212885,5011.48,133.5696,11.557231502397103,5000.0,0.0,0.0,1.0,5,5,0.0,0.0,0.0,24.42,219.94359999999998,14.830495608711125,0.01595646858215332,2.1716671644844613e-05,0.0046601149819338805,5000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.01482877492904663,1.8368920780056894e-05,0.004285897896597269,209.46,134.8884,11.61414654634597,5019.98,379.5595999999998,19.482289393189905,5000.0,0.0,0.0,1.0,5,5,2.9053688049316406e-05,4.7372560652547633e-08,0.00021765238489974704,21.56,346.2864,18.608772124995244,0.01464668035507202,1.9953756214653143e-05,0.004466962750533425,5000.0,0.0,0.0
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.01803250312805176,2.5500313940938214e-05,0.005049783553870226,208.65,162.46749999999997,12.746273965359444,5023.08,550.6736000000002,23.46643560492305,5000.0,0.0,0.0,1.0,5,5,0.0,0.0,0.0,20.92,271.63359999999994,16.481310627495617,0.018001196384429933,2.535534524269565e-05,0.005035409143525047,5000.0,0.0,0.0
Model-free Dijkstra,True,False,0.0,0.0,0.0,6.0,0.0,0.0,28.0,0.0,0.0,9.0,0.0,0.0,1.0,5,5,,,,,,,,,,,,
Model-free Value Iteration,True,False,0.00015677452087402342,8.56383628979529e-07,0.000925409978863168,5.0,0.0,0.0,69.0,0.0,0.0,50.0,0.0,0.0,1.0,5,5,,,,,,,,,,,,
Model-free Synchronous Value Iteration,True,False,0.0,0.0,0.0,6.0,0.0,0.0,79.0,0.0,0.0,60.0,0.0,0.0,1.0,5,5,,,,,,,,,,,,
