Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.13141019582748414,5.3765471627338004e-05,0.00733249422961505,536.0,0.0,0.0,47034.0,0.0,0.0,47000.0,0.0,0.0,1.0,39,39,0.006566934585571289,1.4187585430590843e-06,0.00119111651111849,2256.0,0.0,0.0,0.13117111921310426,5.432246692905095e-05,0.0073703776652930715,47000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.25",True,False,0.16456151485443116,0.00012928735161606253,0.011370459604433874,575.83,2840.5411,53.29672691638765,58635.08,7540342.2736,2745.9683671885223,58383.83838383838,2660748.9031731454,1631.1802178708351,0.99,39,39,0.02005921125411987,3.4614816234187625e-05,0.005883435750833659,7084.56,3171411.6064,1780.8457559260992,0.16365068674087524,9.258307347164986e-05,0.009622009845746878,58330.0,2921100.0,1709.122581911549
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.2581937861442566,0.0015696591131994125,0.03961892367542829,771.15,26825.2875,163.78427122284972,94170.3,174957983.95000005,13227.168402572035,90036.58536585367,120084027.3646639,10958.285785863767,0.82,39,39,0.024021193981170655,2.2204981163093866e-05,0.0047122161626026735,8680.06,2071699.1564000002,1439.339833534805,0.2463958030793725,0.0011188061810527294,0.03344856022391292,90036.58536585367,120084027.3646639,10958.285785863767
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.75",False,True,0.5699857616424561,0.01001607717982588,0.10008035361561168,911.05,34051.72750000001,184.53110171458906,204818.1,1152230829.71,33944.52576940795,156080.0,1440793600.0,37957.78707986017,0.25,2,41,0.027748980522155763,8.044184997995671e-05,0.008968938063112974,9940.12,8175236.305600001,2859.2370145897316,0.42644898414611815,0.010910665199661345,0.10445412964388409,156080.0,1440793600.0,37957.78707986017
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",False,True,0.7460822439193726,0.04376466596414914,0.20920006205579658,456.95,22852.487500000003,151.1703922730903,286512.28,6484077456.961599,80523.76951535241,286150.0,6488607500.0,80551.89321176753,1.0,2,39,0.021146225929260253,0.00012576129878709706,0.01121433452270339,8111.56,17856199.1664,4225.659613172836,0.7451059436798095,0.04391819247704658,0.20956667787853722,286070.0,6493585100.0,80582.7841415274
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",False,True,0.429478702545166,0.0008392503224310077,0.028969817438689663,87.39,48.6179,6.97265372724044,174017.16,101414714.17439999,10070.487285846697,173550.0,101347500.0,10067.149546917439,1.0,2,39,0.009573874473571777,6.713020172312554e-05,0.008193302247758563,3790.8,10731074.640000002,3275.8319004491063,0.42585647583007813,0.0008471585028968092,0.029105987406319155,172500.0,99690000.0,9984.48796884447
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",False,True,0.43485916137695313,0.0007355480143115529,0.02712098844643301,88.14,43.0804,6.56356610387981,175936.5,94719995.47,9732.419815749832,175430.0,95085100.0,9751.158905484004,1.0,2,39,0.00873856782913208,9.538185065400172e-05,0.009766363225582065,3433.76,15080857.5424,3883.4079804213206,0.4311045122146606,0.000780432987895415,0.027936230738870534,174430.0,99405100.0,9970.21062967077
Model-free Dijkstra,True,False,0.002809009552001953,6.060417043954658e-07,0.0007784868042526255,400.0,0.0,0.0,5782.0,0.0,0.0,1518.0,0.0,0.0,1.0,39,39,,,,,,,,,,,,
Model-free Value Iteration,True,False,0.017640933990478516,1.0765393202746054e-06,0.0010375641282709255,26.0,0.0,0.0,43784.0,0.0,0.0,39520.0,0.0,0.0,1.0,39,39,,,,,,,,,,,,
Model-free Synchronous Value Iteration,True,False,0.025432686805725097,2.7837875656814503e-06,0.0016684686289173826,39.0,0.0,0.0,63544.0,0.0,0.0,59280.0,0.0,0.0,1.0,39,39,,,,,,,,,,,,
