Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.4261532402038574,0.0018472522000332902,0.04297967193957267,999.0,0.0,0.0,104562.0,0.0,0.0,0.0,0.0,0.0,0.0,91,91
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.25",True,False,0.17910771131515502,0.0007182583389006764,0.026800342141485366,242.71,3016.9659,54.92691416782851,46557.64,45712657.07039999,6761.113596915821,46500.0,45750000.0,6763.874629234341,1.0,91,91
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.17441299676895142,0.0002701380135575334,0.016435875807438233,147.8,309.16,17.582946283259812,47091.38,10985193.495600002,3314.3918741754123,47000.0,11000000.0,3316.6247903554,1.0,91,91
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.75",True,False,0.23102741956710815,0.0005615397903487234,0.023696830808121228,93.82,76.2076,8.729696443748775,60818.08,11108645.513600001,3332.963473187188,60600.0,11140000.0,3337.663853655727,1.0,91,91
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",True,False,0.29851445913314817,0.0012215392862741452,0.03495052626605421,52.92,28.6936,5.356640738373258,80983.56,28530146.2064,5341.361830694491,80450.0,28547500.0,5342.986056504359,1.0,91,91
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,1.2402698445320128,0.17035879368601609,0.4127454344823406,115.35,1466.9275000000002,38.300489553007026,342616.24,12951441596.5024,113804.40060253558,341000.0,12925000000.0,113688.17000902073,1.0,91,91
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,1.3070228052139283,0.15141101543771465,0.38911568387526435,113.01,1035.5099,32.17933964518228,335278.06,9288613259.876402,96377.45203042256,333700.0,9258810000.0,96222.71041703201,1.0,91,91
Model-free Dijkstra,True,False,0.0010102319717407227,1.9002060705588518e-07,0.0004359135316274148,136.0,0.0,0.0,1061.0,0.0,0.0,333.0,0.0,0.0,1.0,91,91
Model-free Value Iteration,True,False,0.018011035919189452,6.2923206941377426e-06,0.0025084498588047845,69.0,0.0,0.0,23774.0,0.0,0.0,23046.0,0.0,0.0,1.0,91,91
Model-free Synchronous Value Iteration,True,False,0.024310357570648193,1.1450709907256849e-05,0.0033838897599148894,93.0,0.0,0.0,31790.0,0.0,0.0,31062.0,0.0,0.0,1.0,91,91
