Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.1935064387321472,9.677787778861673e-05,0.009837574792021493,999.0,0.0,0.0,47872.0,0.0,0.0,0.0,0.0,0.0,0.0,33,33
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.25",True,False,0.26799716472625734,0.0008949814762436061,0.029916241011256846,999.0,0.0,0.0,63500.1,53125.39,230.48945745955496,0.0,0.0,0.0,0.0,33,33
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.377330162525177,0.0006187244261697004,0.024874171869023104,999.0,0.0,0.0,96049.22,414665.2716,643.9450843045546,0.0,0.0,0.0,0.0,33,33
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.75",True,False,0.7937416696548462,0.0031596365463576826,0.05621064442218825,999.0,0.0,0.0,208456.22,4941814.7916,2223.019296272527,0.0,0.0,0.0,0.0,33,33
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",True,False,2.1253352880477907,0.010125669308656026,0.10062638475398004,999.0,0.0,0.0,597704.04,92851557.0384,9635.951278332617,0.0,0.0,0.0,0.0,33,33
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,8.31170292377472,0.09596292112471062,0.3097788261400553,999.0,0.0,0.0,2312386.46,705903299.9083999,26568.840770880463,0.0,0.0,0.0,0.0,33,33
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,8.527164523601533,0.11392976301173671,0.33753483229399706,999.0,0.0,0.0,2294957.98,327097473.39959997,18085.836264867597,0.0,0.0,0.0,0.0,33,33
Model-free Dijkstra,True,False,0.0027753162384033204,1.6885440574560556e-05,0.0041091897710571305,280.0,0.0,0.0,3837.0,0.0,0.0,964.0,0.0,0.0,1.0,33,33
Model-free Value Iteration,True,False,0.016993615627288818,2.910502835435978e-05,0.005394907631680062,23.0,0.0,0.0,26793.0,0.0,0.0,23920.0,0.0,0.0,1.0,33,33
Model-free Synchronous Value Iteration,True,False,0.025451760292053222,3.429098553417588e-05,0.005855850538920532,37.0,0.0,0.0,41353.0,0.0,0.0,38480.0,0.0,0.0,1.0,33,33
