Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.3979478812217712,0.0008751429142260975,0.02958281450819204,999.0,0.0,0.0,101214.0,0.0,0.0,0.0,0.0,0.0,0.0,64,64,0.008314809799194335,1.718515005077279e-05,0.004145497563715698,2015.0,0.0,0.0,0.20477800607681274,0.00043293597853595996,0.020807113652209427,52000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.25",True,False,0.5035950875282288,0.0011924642140160072,0.034532075147839104,999.0,0.0,0.0,133155.57,212699.60510000002,461.1936741760451,0.0,0.0,0.0,0.0,64,64,0.011252129077911377,5.1140452543876337e-05,0.007151255312452236,3048.2,1947553.4399999997,1395.5477204309425,0.23422835111618043,0.0004980599063402394,0.02231725579770594,62060.0,1256400.0,1120.8925015361642
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.7883161067962646,0.004839204970807033,0.06956439441845974,999.0,0.0,0.0,200063.49,1182780.8698999998,1087.5572949964521,0.0,0.0,0.0,0.0,64,64,0.020533814430236816,0.00011279500650382487,0.010620499352847063,5258.32,4621454.2576,2149.756790336991,0.308742470741272,0.00131585907694282,0.036274771907523,78460.0,3168400.0,1780.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.75",True,False,1.2165343761444092,0.05278573294870171,0.22975145907850447,783.85,27878.247499999994,166.96780378264546,346787.71,3841214332.7858996,61977.530870355746,328148.14814814815,2947607681.75583,54291.87491472209,0.81,64,64,0.02760843753814697,0.00018241390703267372,0.013506069266543606,8014.08,12408154.113599999,3522.5209883831776,0.3922084617614746,0.0008034799444368218,0.02834572180130225,112690.0,10233900.0,3199.0467330128204
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",True,False,0.6922116160392762,0.006391005368326859,0.07994376378634459,138.36,304.0504,17.43704103338637,204606.87,379688989.73310006,19485.609811681545,204170.0,379921100.0,19491.56484225933,1.0,64,64,0.03849937200546265,0.0004895741790485943,0.022126323215767105,11197.02,39009116.35960001,6245.727848665839,0.5439203524589539,0.0020302933286935687,0.0450587763781216,160540.0,55308400.0,7436.961745229029
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,2.106073591709137,0.5987008167857857,0.7737575956239691,218.43,6121.1651,78.23787509895703,637345.44,52932650183.18639,230070.9677103706,636850.0,52953087500.0,230115.37866904942,1.0,64,64,0.09047696828842162,0.007222504683776487,0.08498532040168165,27471.88,651634417.4655999,25527.131007334137,1.4648238968849183,0.12755565187543977,0.3571493411381852,444070.0,10864865100.0,104234.66362012207
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,2.4813849782943724,0.39548717037248465,0.6288777070086716,234.26,3349.4924000000005,57.87479935170403,685022.72,28788118999.001606,169670.61913897056,684550.0,28773587500.0,169627.79106030945,1.0,64,64,0.06622997522354127,0.00440206640465405,0.06634807008989825,18366.34,380237000.4844,19499.66667623834,1.6479598760604859,0.12231905518354155,0.34974141187960794,455760.0,9003862400.0,94888.68425687017
Model-free Dijkstra,True,False,0.002657809257507324,1.0942673998465581e-05,0.0033079712813846467,331.0,0.0,0.0,4423.0,0.0,0.0,1157.0,0.0,0.0,1.0,64,64,,,,,,,,,,,,
Model-free Value Iteration,True,False,0.0481036114692688,0.0001388216867883955,0.011782261531149082,56.0,0.0,0.0,69570.0,0.0,0.0,66304.0,0.0,0.0,1.0,64,64,,,,,,,,,,,,
Model-free Synchronous Value Iteration,True,False,0.053058784008026126,9.517317387241632e-05,0.00975567393225175,67.0,0.0,0.0,82594.0,0.0,0.0,79328.0,0.0,0.0,1.0,64,64,,,,,,,,,,,,
