Algorithm,Goal reached,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence action,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go,Convergence rate Optimal Initial Cost2Go
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0)",True,0.46530344486236574,0.00051459790886895,0.02268475057982675,2999.0,0.0,0.0,93006.9,21607.890000000003,146.99622444131006,0.0,0.0,0.0,0.0,22,22,0.0065216064453125,8.780553414453607e-06,0.002963199860700187,1325.5,3289.25,57.35198340075084,0.16930391788482665,0.00029765098425343694,0.0172525645703309,35000.0,0.0,0.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0)",True,0.42408318519592286,0.0006493700119881395,0.025482739491431046,2999.0,0.0,0.0,85501.1,600173.2899999999,774.708519380031,0.0,0.0,0.0,0.0,22,24,0.00768997934129503,2.69473077555687e-05,0.005191079632944259,1361.8,22776.159999999996,150.91772593038897,0.12894680500030517,0.00020654973919192798,0.014371838406826315,25200.0,160000.0,400.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0)",True,0.40987305641174315,0.0010777636830516712,0.03282931133989367,2999.0,0.0,0.0,82305.4,1514838.6400000001,1230.7878127443414,0.0,0.0,0.0,0.0,22,821,0.00733131832546658,7.282788358702138e-06,0.0026986641804237405,1350.4,1486.24,38.551783356934344,0.09688196182250977,0.0002444125617353166,0.015633699553698626,19900.0,90000.0,300.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0)",True,0.38935675621032717,0.00033766898002568263,0.018375771549126382,2999.0,0.0,0.0,82036.7,2345626.21,1531.5437342759756,0.0,0.0,0.0,0.0,22,24,0.008593002955118815,2.0339770357067107e-05,0.004509963454072228,1369.8,5474.76,73.99162114726235,0.08813712596893311,9.763850074989479e-05,0.00988121959830338,19500.0,250000.0,500.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.25)",True,0.5963687896728516,0.000447468902689252,0.021153460773340422,2999.0,0.0,0.0,124873.5,152216.45,390.14926630714046,0.0,0.0,0.0,0.0,22,22,0.00950314998626709,2.6515074347344123e-06,0.001628344998682531,2172.8,60702.36000000001,246.37848932080092,0.1775653600692749,0.0006137521129454626,0.02477402092809043,37900.0,90000.0,300.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.25)",True,0.6150599718093872,0.002551462776480662,0.05051200626069669,2999.0,0.0,0.0,116575.0,227635.0,477.11109817316134,0.0,0.0,0.0,0.0,22,23,0.010080303464617048,1.0200545837190531e-05,0.003193829337517979,1691.0,222008.8,471.1780979629677,0.13960952758789064,0.00018791181608776244,0.013708093087215392,27900.0,90000.0,300.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0.25)",True,0.5954933404922486,0.002428490008861104,0.049279711939713124,2999.0,0.0,0.0,112159.1,79745.29000000001,282.39208558314806,0.0,0.0,0.0,0.0,22,22,0.010336293114556206,2.3388255083964283e-05,0.00483614051532462,1972.3,167316.21000000002,409.0430417449978,0.11701037883758544,0.0002451746767115992,0.01565805469116771,22900.0,90000.0,300.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0.25)",True,0.5884152173995971,0.0018363538975341952,0.04285270000284924,2999.0,0.0,0.0,111522.5,62080.45,249.15948707604934,0.0,0.0,0.0,0.0,22,22,0.010125160217285156,2.4879151931145314e-05,0.004987900553453859,2001.1,154648.69,393.25397645796284,0.11410737037658691,0.0002424985529728474,0.015572365041086321,21400.0,240000.0,489.89794855663564,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.5)",True,0.9407094240188598,0.0025562815874656053,0.05055968341935702,2999.0,0.0,0.0,189709.0,587728.2,766.634332651493,0.0,0.0,0.0,0.0,22,22,0.013604323069254557,2.3035190426728353e-05,0.004799498976635827,2535.7,712081.21,843.8490445571412,0.20240209102630616,0.0006626340023495914,0.025741678312604082,42900.0,290000.0,538.5164807134504,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.5)",True,0.9177138805389404,0.005106087711249074,0.071456894077822,2999.0,0.0,0.0,182893.4,1035004.4399999998,1017.3516796074009,0.0,0.0,0.0,0.0,22,22,0.012068837881088257,9.51866841969462e-06,0.0030852339327342134,1987.5,284823.65,533.6887201356236,0.16020519733428956,0.0008307839457876298,0.028823322948397706,32600.0,640000.0,800.0,1.0
