Algorithm,Goal reached,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence action,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go,Convergence rate Optimal Initial Cost2Go
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0)",True,0.6396140599250794,0.00273679664739654,0.052314401911868785,2999.0,0.0,0.0,127948.57,703678.3450999999,838.8553779406793,0.0,0.0,0.0,0.0,28,397,0.007347477806939019,1.209392097268987e-05,0.00347763151766973,1392.7,189159.37,434.92455667621255,0.26854068756103516,0.002428972483563802,0.04928460696367378,53890.0,63237900.0,7952.22610342538,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0)",True,0.615369291305542,0.0015772944442179323,0.03971516642566077,2999.0,0.0,0.0,122769.1,2861155.0300000007,1691.4949098356758,0.0,0.0,0.0,0.0,28,78,0.008104979991912842,1.685149452939072e-05,0.0041050571895395955,1174.92,185245.5936,430.4016654242871,0.2336997938156128,0.009246198570045841,0.09615715558420934,46920.0,333013600.0,18248.660224794585,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0)",True,0.631491904258728,0.0014324863114006578,0.037848200900447805,2999.0,0.0,0.0,128454.96,8049915.5583999995,2837.2373109065093,0.0,0.0,0.0,0.0,28,264,0.007824359116730866,1.285235557389134e-05,0.003585018211096192,1187.37,121161.9531,348.0832559891383,0.2522731557184336,0.015906128359481228,0.12611950031411173,51071.42857142857,635331632.6530613,25205.78569799127,0.98
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0)",True,0.6704289507865906,0.00200876170370754,0.044819211324024215,2999.0,0.0,0.0,137031.75,11136446.4675,3337.1314729120277,0.0,0.0,0.0,0.0,29,1272,0.007960512668271608,1.698475893422997e-05,0.004121256960470916,1232.3,110442.19,332.3284369415293,0.15688070591459882,0.009761452324093431,0.0988000623688742,32255.31914893617,416849705.74920785,20416.897554457384,0.94
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.25)",True,0.7918832325935363,0.002375573415053503,0.0487398544833025,2999.0,0.0,0.0,162624.37,454038.3531,673.8236810175196,0.0,0.0,0.0,0.0,28,73,0.009314713023957751,2.399380795346848e-05,0.004898347471695784,1627.28,204603.84160000004,452.33156157845104,0.4460813051615006,0.018062574610074357,0.13439707813071813,91307.69230769231,778110453.6489152,27894.631269276804,0.78
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.25)",True,0.7758172011375427,0.0022731299587527417,0.047677352681883896,2999.0,0.0,0.0,161811.15,776371.7075000001,881.1195761643253,0.0,0.0,0.0,0.0,28,1360,0.008186062177022299,1.4681255966557109e-05,0.0038316127109295777,1439.98,219534.4396,468.545024090535,0.2627576947212219,0.0058848164841906235,0.07671255753910583,55080.0,245673600.0,15673.978435611043,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0.25)",True,0.8496311378479003,0.002585478202564763,0.050847597805252935,2999.0,0.0,0.0,172366.67,1983600.3211,1408.4034653109882,0.0,0.0,0.0,0.0,28,352,0.009082401855082451,2.3138903074356948e-05,0.004810291371045724,1487.22,198723.39160000003,445.7840190047194,0.21507706642150878,0.006553455281236893,0.08095341426547056,44090.0,230301900.0,15175.700972278019,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0.25)",True,0.858000373840332,0.0019464921927033177,0.044119068357155025,2999.0,0.0,0.0,178576.73,2275252.0971,1508.3938799597404,0.0,0.0,0.0,0.0,28,1745,0.008396611816581639,1.499285403136055e-05,0.0038720606957226987,1452.96,202687.09839999996,450.20783911433614,0.20363834196207475,0.020241413596176924,0.14227232196100872,42571.42857142857,874795918.3673468,29576.94910512825,0.98
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.5)",True,1.1205145597457886,0.0035627681133422583,0.05968892789573505,2999.0,0.0,0.0,237601.36,1337525.0903999999,1156.514198097023,0.0,0.0,0.0,0.0,28,132,0.009858099619547527,2.950272687510531e-05,0.005431641269000127,1965.62,473921.23559999996,688.4193747999833,0.6434722211625841,0.07826645135726323,0.2797614186360643,138000.0,3349111111.111111,57871.50517405877,0.09
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.5)",True,1.130636932849884,0.0035052494322832164,0.059205147008374336,2999.0,0.0,0.0,238201.68,1341821.8975999998,1158.3703628805426,0.0,0.0,0.0,0.0,28,219,0.009015927154026675,2.4819722262875522e-05,0.004981939608513487,1787.09,402982.7019,634.8091854250378,0.6105903723301032,0.09178292816813506,0.3029569741203115,126461.53846153847,3633069033.5305715,60274.94532167218,0.39
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0.5)",True,1.1624526691436767,0.006631081178200339,0.081431450792678,2999.0,0.0,0.0,248037.8,2056811.68,1434.1588754388406,0.0,0.0,0.0,0.0,28,292,0.009710956405807327,2.0449136442047287e-05,0.004522072140296668,1826.07,357777.48510000005,598.145036843072,0.5758038667532114,0.07878897077388024,0.28069373126929686,124092.30769230769,3435622248.52071,58614.18129190845,0.65
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0.5)",True,1.1401893401145935,0.002067795193883393,0.045473016107174954,2999.0,0.0,0.0,251946.07,2694451.6250999994,1641.4784875532177,0.0,0.0,0.0,0.0,29,2073,0.009360274115761558,2.0449277851944137e-05,0.004522087775789423,1769.02,328578.5196,573.2176895386255,0.5386619567871094,0.09303597550285109,0.3050179920969435,119228.57142857143,4421719183.673469,66496.0087800273,0.35
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.75)",True,2.1368953514099123,0.01026368110612234,0.10130982729292524,2999.0,0.0,0.0,473101.47,10821783.3891,3289.6479126344207,0.0,0.0,0.0,0.0,28,43,0.01153305106692844,3.438159206606919e-05,0.005863581846113277,2413.48,1050267.7696,1024.8257264530394,1.9354982376098633,0.0,0.0,470000.0,0.0,0.0,0.01
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.75)",True,2.1332265615463255,0.008420950983108353,0.09176573970228952,2999.0,0.0,0.0,478052.81,11256364.653900001,3355.0506186792477,0.0,0.0,0.0,0.0,28,348,0.011734013808401007,3.4461287164981445e-05,0.00587037368188614,2482.21,1141301.3259000003,1068.3170530792815,,,,,,,0.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0.75)",True,2.233376603126526,0.010390513712022972,0.10193386930762009,2999.0,0.0,0.0,491898.88,11475401.4256,3387.5361880871474,0.0,0.0,0.0,0.0,28,548,0.012865763032034542,4.525474532378241e-05,0.006727164731429015,2493.41,1050250.3418999999,1024.817223655028,,,,,,,0.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0.75)",True,2.23552063703537,0.00917778235857483,0.09580074299594357,2999.0,0.0,0.0,495560.46,12203282.8084,3493.3197403615945,0.0,0.0,0.0,0.0,28,222,0.010718438936316448,3.113956729367646e-05,0.005580283800460014,2265.77,688561.6371,829.7961418926941,,,,,,,0.0
