Algorithm,Goal reached,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence action,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go,Convergence rate Optimal Initial Cost2Go
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0)",True,0.29375734329223635,0.00012910133217701512,0.011362276716266644,2999.0,0.0,0.0,87332.2,17108.960000000003,130.8012232358704,0.0,0.0,0.0,0.0,22,23,0.004064202308654785,4.074024019473654e-07,0.0006382808174678019,1229.7,3050.6099999999997,55.23232749033848,0.11995909214019776,3.350991467470976e-05,0.005788774885475316,35800.0,160000.0,400.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0)",True,0.2583100080490112,0.00010442136656422463,0.0102186773392756,2999.0,0.0,0.0,80872.8,18382.96,135.5837748405022,0.0,0.0,0.0,0.0,22,22,0.003995299339294434,5.359401058058211e-07,0.0007320793029486772,1255.4,4739.24,68.84213825848235,0.08165113925933838,6.088569317682867e-05,0.007802928500045907,25600.0,240000.0,489.89794855663564,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0)",True,0.250364089012146,6.869050092120688e-05,0.00828797326981735,2999.0,0.0,0.0,77700.9,188396.69,434.04687534873466,0.0,0.0,0.0,0.0,22,24,0.0038234472274780275,7.73370050524136e-07,0.0008794146067266201,1217.4,2245.44,47.386073903627,0.06539993286132813,1.0552437445312534e-05,0.003248451545784935,20000.0,0.0,0.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0)",True,0.24894511699676514,7.387257553830296e-05,0.008594915679534207,2999.0,0.0,0.0,76801.6,20925.239999999998,144.65559097387145,0.0,0.0,0.0,0.0,22,22,0.003614377975463867,8.15855705695867e-07,0.0009032473114800104,1220.8,2407.36,49.06485503901953,0.05621428489685058,2.190773259371781e-06,0.0014801260957674454,18000.0,0.0,0.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.25)",True,0.3540791988372803,0.0002182209258739931,0.014772302659842612,2999.0,0.0,0.0,111584.0,170527.4,412.949633732735,0.0,0.0,0.0,0.0,22,22,0.005133223533630371,3.180244681288968e-07,0.000563936581655151,1864.1,84011.48999999999,289.84735637918106,0.12302963733673096,1.5548720717220022e-05,0.003943186619628853,39300.0,210000.0,458.257569495584,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.25)",True,0.33254754543304443,1.3085374249044435e-05,0.003617371179329602,2999.0,0.0,0.0,105435.9,196810.88999999998,443.633734064487,0.0,0.0,0.0,0.0,22,22,0.004554343223571777,7.425567110885823e-07,0.0008617173034636025,1547.0,47106.2,217.03962771807363,0.09058208465576172,2.028833195936386e-05,0.004504257092947056,28700.0,210000.0,458.257569495584,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0.25)",True,0.32478044033050535,0.00012556448568204815,0.011205556018424438,2999.0,0.0,0.0,102077.8,198805.75999999998,445.87639542815,0.0,0.0,0.0,0.0,22,22,0.005202960968017578,9.642513737162516e-07,0.000981963020544181,1663.0,51204.0,226.2830086418333,0.07235503196716309,1.337890881814019e-05,0.0036577190731575037,23000.0,0.0,0.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0.25)",True,0.3227729320526123,8.215865899273922e-05,0.009064141381991965,2999.0,0.0,0.0,102165.3,78881.81,280.8590571799314,0.0,0.0,0.0,0.0,22,22,0.005132532119750977,1.6155262892425525e-06,0.0012710335515801903,1641.7,60188.81000000001,245.3340783503181,0.062475943565368654,5.384420699670045e-06,0.0023204354547519835,20300.0,210000.0,458.257569495584,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.5)",True,0.5114743947982788,0.0003772480653930188,0.01942287479733674,2999.0,0.0,0.0,161853.1,650664.49,806.6377687661296,0.0,0.0,0.0,0.0,22,24,0.006574892997741699,2.041649741499896e-06,0.0014288630940366175,1961.0,93593.0,305.92973049378514,0.14202263355255126,3.734628592667378e-05,0.006111160767536212,46300.0,210000.0,458.257569495584,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.5)",True,0.4835120916366577,6.666524427657805e-05,0.008164878705564342,2999.0,0.0,0.0,156959.0,2263831.6,1504.6034693566276,0.0,0.0,0.0,0.0,22,22,0.005757379531860352,4.587487146636705e-06,0.0021418419985229312,2019.1,315107.49,561.3443595512473,0.10627048015594483,2.5816840821448753e-05,0.005081027535986078,34400.0,240000.0,489.89794855663564,1.0
