Algorithm,Goal reached,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence action,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go,Convergence rate Optimal Initial Cost2Go
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = 0)",True,0.02623586654663086,0.0003553419752256559,0.0188505165771566,1815.8,1669938.16,1292.260871496154,8753.4,36707769.64,6058.693723897916,3200.0,11760000.0,3429.2856398964495,0.5,5,7,,,,16.9,24.889999999999997,4.988987873306568,0.0035159826278686524,1.669197416163115e-06,0.0012919742320043055,1300.0,210000.0,458.257569495584,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = 0.25)",True,0.030048489570617676,0.0003278081842069014,0.01810547387413269,1647.7,1085125.41,1041.6935297869522,10329.0,41969721.6,6478.404247961067,6714.285714285715,16489795.918367347,4060.7629724433987,0.7,5,9,,,,22.8,128.56,11.338430226446693,0.006004142761230469,1.813271805758632e-05,0.004258252934900218,2100.0,2490000.0,1577.97338380595,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = 0.5)",True,0.03391261100769043,0.0002268835529071112,0.015062654245089449,1369.7,370457.61,608.652289899578,11905.3,27684083.809999995,5261.566668778416,11900.0,27690000.0,5262.1288467691475,1.0,5,7,0.0010013580322265625,0.0,0.0,17.1,20.09,4.4821869662029945,0.007342338562011719,3.2923913340709984e-05,0.005737936331183014,2600.0,4440000.0,2107.1307505705477,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = 0.75)",True,0.04512324333190918,0.0009772340271774738,0.0312607425883883,1099.2,561179.36,749.119055958397,15109.6,107802944.04,10382.81965749189,15100.0,107890000.0,10387.011119662864,1.0,5,7,,,,17.7,80.21,8.956003573022958,0.008364486694335937,3.302102445331911e-05,0.005746392298940189,2800.0,3560000.0,1886.7962264113207,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = 0.9)",True,0.04857373237609863,0.001081685300312074,0.03288898448283367,940.9,390473.69,624.8789402756345,18009.6,146990872.83999997,12123.979249404874,18000.0,147000000.0,12124.355652982142,1.0,5,7,0.0010001659393310547,5.684341886080802e-14,2.384185791015625e-07,20.3,105.80999999999999,10.286398786747478,0.005760908126831055,8.011455383893917e-06,0.0028304514452457785,2100.0,1090000.0,1044.030650891055,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = 1)",True,0.046631264686584475,0.0023600054218951535,0.048579887009905176,648.6,450262.04000000004,671.0156779092423,16819.9,309893213.89,17603.784078714438,16800.0,309760000.0,17600.0,1.0,5,9,0.0006961822509765625,8.363764436580823e-08,0.0002892017364501953,25.0,339.0,18.411952639521967,0.011098909378051757,5.8774336887381656e-05,0.0076664422574869535,3700.0,5210000.0,2282.5424421026655,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 1\num_steps_taken^0.7, gamma = 1, epsilon = 0)",True,0.009900999069213868,2.945769672123788e-05,0.005427494516002562,654.8,144605.96,380.2709034359584,3102.0,3090603.6,1758.011262762557,3100.0,3090000.0,1757.8395831246946,1.0,5,10,0.0010666847229003906,0.0,0.0,17.3,64.21000000000001,8.013114251026252,0.005628156661987305,6.18102597854886e-06,0.002486166924916519,1700.0,610000.0,781.0249675906655,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 1\num_steps_taken^0.7, gamma = 1, epsilon = 0.25)",True,0.0076880216598510746,1.702567320137405e-05,0.004126217784045584,354.4,35796.03999999999,189.19841436967698,2203.3,1358087.6099999999,1165.370160077904,2200.0,1360000.0,1166.19037896906,1.0,5,8,,,,20.6,53.44,7.310266752998826,0.0046362638473510746,2.562706668527426e-06,0.0016008456104594927,1300.0,210000.0,458.257569495584,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 1\num_steps_taken^0.7, gamma = 1, epsilon = 0.5)",True,0.005219388008117676,7.762729410956127e-06,0.002786167513082465,180.1,8905.49,94.36890377661489,1603.4,641527.44,800.954081080807,1600.0,640000.0,800.0,1.0,5,8,0.0010082721710205078,0.0,0.0,19.3,48.010000000000005,6.928924880528004,0.004400563240051269,6.300552241214063e-06,0.002510090086274607,1300.0,410000.0,640.3124237432849,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 1\num_steps_taken^0.7, gamma = 1, epsilon = 0.75)",True,0.009183311462402343,1.9582256677495024e-05,0.0044251843664976295,202.8,8708.359999999999,93.31859407427868,2808.2,1752752.9600000002,1323.9157677133392,2800.0,1760000.0,1326.64991614216,1.0,5,7,,,,20.5,101.45,10.072239075796404,0.006357550621032715,4.2721420896896236e-06,0.002066916081917605,2000.0,800000.0,894.4271909999159,1.0
