Algorithm,Goal reached,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence action,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go,Convergence rate Optimal Initial Cost2Go
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0)",True,4.25422351360321,0.010454576870484403,0.10224762525596574,2999.0,0.0,0.0,1074244.4,711118.24,843.2782696121133,0.0,0.0,0.0,0.0,84,29307,0.028629231452941894,0.0003100277531876827,0.01760760498158914,7168.8,20605123.96,4539.2867237045075,,,,,,,0.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = 0)",True,2.473628115653992,0.0011948899894724718,0.034567180814646596,2999.0,0.0,0.0,661308.6,316906.04,562.944082480667,0.0,0.0,0.0,0.0,67,78,0.014232397079467773,0.0003628364504606907,0.01904826633740432,4155.8,29747647.76,5454.140423568136,2.4213167826334634,0.000691872449667446,0.026303468396153502,645666.6666666666,8222222.222222221,2867.4417556808753,0.6
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.3, gamma = 1, epsilon = 0)",True,1.387537670135498,0.001272162628206388,0.03566738886162524,2999.0,0.0,0.0,372630.7,3574612.409999999,1890.6645419005454,0.0,0.0,0.0,0.0,69,84,0.00984208583831787,6.874518073857415e-05,0.008291271358396983,2771.1,4535836.289999999,2129.750288179344,0.7890546798706055,0.0010948386014183599,0.03308834540164195,213500.0,80250000.0,8958.236433584458,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0)",True,1.2037994384765625,0.001933805383223444,0.04397505410142714,2999.0,0.0,0.0,321507.2,35211253.56,5933.907107463008,0.0,0.0,0.0,0.0,73,91,0.015444493293762207,3.8901559849477953e-05,0.0062371114988813495,4374.7,3735134.41,1932.6495828266438,0.5242547273635865,0.006465681849818453,0.08040946368319125,138200.0,316960000.0,17803.37046741431,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0)",True,1.1570775985717774,0.0011134823139150286,0.033368882419329365,2999.0,0.0,0.0,309478.0,28797967.2,5366.373747699651,0.0,0.0,0.0,0.0,71,89,0.00618441104888916,6.491007400768468e-06,0.00254774555259517,1862.9,840579.49,916.8312221995933,0.5458407402038574,0.09186784758128397,0.3030970926638591,143000.0,5704666666.666667,75529.24378455452,0.6
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.25)",True,4.09428653717041,0.001293386517490944,0.03596368331373949,2999.0,0.0,0.0,1118923.6,1356256.6400000001,1164.584320691293,0.0,0.0,0.0,0.0,73,831,0.02946333885192871,0.00025950996723395287,0.016109313059033674,8258.0,22770122.6,4771.80496248537,,,,,,,0.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = 0.25)",True,2.6092720508575438,0.0015024034003295124,0.03876084880816611,2999.0,0.0,0.0,728539.7,750436.2100000001,866.277213136765,0.0,0.0,0.0,0.0,66,84,0.022021031379699706,0.00017548490604269774,0.013247071602535321,5969.8,11007458.559999999,3317.7490200435595,2.5392684936523438,0.003442411694209113,0.05867206911477652,706800.0,356560000.0,18882.796403075474,0.5
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.3, gamma = 1, epsilon = 0.25)",True,1.6290112733840942,0.0006338239657026179,0.02517586077381701,2999.0,0.0,0.0,460307.9,757622.8899999999,870.4153548737521,0.0,0.0,0.0,0.0,67,88,0.02011418342590332,9.064657692761102e-05,0.009520849590641112,5577.4,6551988.84,2559.685300969633,1.0745954172951835,0.009119886656734782,0.09549809766029259,305857.14285714284,839551020.4081633,28975.006823263448,0.7
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.25)",True,1.496508526802063,0.000992257232201723,0.031500114796643566,2999.0,0.0,0.0,418517.9,2804254.4899999998,1674.5908425642365,0.0,0.0,0.0,0.0,67,484,0.01584503650665283,5.073347263589767e-05,0.007122743336376629,4227.6,3087127.84,1757.022435827158,0.5464922428131104,0.004852030125064174,0.06965651530951124,153400.0,405640000.0,20140.50644844861,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.25)",True,1.528437042236328,0.00029473380492618163,0.017167813050187306,2999.0,0.0,0.0,432750.2,4221431.16,2054.6121677825236,0.0,0.0,0.0,0.0,78,400,0.011776995658874512,4.9772250566206825e-05,0.007054945114329864,3287.1,4912024.49,2216.3087533103326,0.42304062843322754,0.00454295041200794,0.06740141253718605,120500.0,413050000.0,20323.631565249358,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.5)",True,4.287708830833435,0.002289716749078821,0.047850984828724484,2999.0,0.0,0.0,1236475.8,8408596.559999999,2899.7580174904247,0.0,0.0,0.0,0.0,70,388,0.03242583274841308,0.00045487920811865484,0.021327897414387918,9622.1,39963866.89,6321.698101776136,,,,,,,0.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = 0.5)",True,3.0788079261779786,0.0007421036544792514,0.027241579515131852,2999.0,0.0,0.0,889892.2,3291648.36,1814.2900429644649,0.0,0.0,0.0,0.0,66,86,0.028115510940551758,0.0003630914667724028,0.019054959112325662,8646.2,29723417.560000002,5451.918704456258,2.8183244168758392,0.00966117246005549,0.0982912633963746,813375.0,1124984375.0,33540.78673794042,0.8
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.3, gamma = 1, epsilon = 0.5)",True,2.2318983554840086,0.0011659412019275803,0.034145881185401857,2999.0,0.0,0.0,658970.8,6018909.96,2453.346685652071,0.0,0.0,0.0,0.0,68,82,0.0189084529876709,0.00018816541820342535,0.013717340055689564,5419.8,13856056.559999999,3722.372437035284,1.1581173283713204,0.053557398209695566,0.2314247139129604,343000.0,4818571428.571428,69415.93065407556,0.7
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.5)",True,2.101813530921936,0.0005364478292500509,0.023161343424984028,2999.0,0.0,0.0,622804.0,2442603.4,1562.8830410494575,0.0,0.0,0.0,0.0,70,135,0.018728995323181154,7.095392955363877e-05,0.008423415551522956,5537.9,6284334.49,2506.857492958066,0.6816030263900756,0.022193030607139123,0.14897325467055864,202400.0,1893840000.0,43518.27202451862,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.5)",True,2.15393648147583,0.0008535264319812086,0.029215174686816586,2999.0,0.0,0.0,636542.0,2042738.4,1429.2439959643,0.0,0.0,0.0,0.0,75,269,0.010782337188720703,7.144015580934139e-05,0.00845222786070876,3264.2,5894449.76,2427.8487926557536,0.4365259647369385,0.0008945413329479379,0.029908883846575383,129000.0,76800000.0,8763.560920082658,1.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.75)",True,5.653627514839172,0.009664803834974122,0.09830973418219643,2999.0,0.0,0.0,1703389.6,41215720.04,6419.947043395296,0.0,0.0,0.0,0.0,69,76,0.05450348854064942,0.0013930489902895713,0.037323571510368234,16982.8,142486154.76,11936.75645893808,,,,,,,0.0
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = 0.75)",True,4.780818843841553,0.0011536244122248717,0.033965046919220816,2999.0,0.0,0.0,1446867.9,24106153.689999998,4909.801797425228,0.0,0.0,0.0,0.0,65,77,0.050206446647644044,0.0004767262928618265,0.02183406267422136,15544.9,44593257.69,6677.818333108501,3.502480238676071,0.2915568300495499,0.5399600263441267,1062250.0,25064187500.0,158316.73158576764,0.8
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.3, gamma = 1, epsilon = 0.75)",True,4.27364342212677,0.004950160860858546,0.07035737957640653,2999.0,0.0,0.0,1287621.8,31147088.360000003,5580.957656173357,0.0,0.0,0.0,0.0,69,83,0.028257226943969725,0.000321040207736587,0.017917594920540732,8946.7,30023821.410000004,5479.399730809936,2.221990452872382,0.4866156420906705,0.6975784128617158,666777.7777777778,43385061728.395065,208290.8104751505,0.9
