Algorithm,Goal reached,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence action,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go,Convergence rate Optimal Initial Cost2Go
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0)",False,1.6962744474411011,0.012253992785054494,0.11069775420059114,2999.0,0.0,0.0,328865.2,5014.960000000001,70.8163822854571,0.0,0.0,0.0,0.0,28,100002,0.009151008394029405,4.4086169414242e-06,0.0020996706745164107,1083.0,16678.8,129.14642852204625,,,,,,,0.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = 0)",True,1.0171952486038207,0.0018365253744428856,0.04285470072749179,2999.0,0.0,0.0,212823.8,6775.56,82.31378985321962,0.0,0.0,0.0,0.0,28,29,0.007591565450032552,9.90125237699936e-06,0.0031466255539862637,1058.2,14225.560000000001,119.27095203778664,0.9839197158813476,0.0014249644641063243,0.03774870148900918,206200.0,160000.0,400.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.25)",False,1.6496397733688355,0.00925024077665796,0.09617817203845143,2999.0,0.0,0.0,341427.2,142865.16,377.9750785435463,0.0,0.0,0.0,0.0,28,100002,0.008873118294609917,2.5466156773886106e-05,0.005046400377881853,1618.5,203489.05,451.0976058460076,,,,,,,0.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = 0.25)",True,1.0612872123718262,0.0008791008910156962,0.02964963559667633,2999.0,0.0,0.0,234067.2,233954.16,483.6880813086053,0.0,0.0,0.0,0.0,28,30,0.007615804672241211,1.643413950205286e-05,0.004053904229511701,1612.2,148572.15999999997,385.45059346173014,0.9885496616363525,0.000782959107161787,0.027981406454318677,218400.0,440000.0,663.32495807108,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.5)",True,1.7466960668563842,0.0036926016083958747,0.060766780467586684,2999.0,0.0,0.0,378764.9,519535.08999999997,720.787825923829,0.0,0.0,0.0,0.0,28,18476,0.011070622338189019,3.6737494094358016e-05,0.006061146269011994,2196.3,701058.4099999999,837.2923085756848,,,,,,,0.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = 0.5)",True,1.280453372001648,0.0013114337424673295,0.036213723123525,2999.0,0.0,0.0,285841.5,517544.45,719.4056227192001,0.0,0.0,0.0,0.0,28,29,0.01006617546081543,3.0004032444139737e-05,0.005477593672785499,2409.2,551330.76,742.5165048670635,1.0864322900772094,0.0012909530163943829,0.035929834627985456,242600.0,1240000.0,1113.5528725660045,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.75)",True,2.299850869178772,0.0013366518019216754,0.03656024893134175,2999.0,0.0,0.0,528608.9,11952324.69,3457.21342847097,0.0,0.0,0.0,0.0,28,28,0.009427022933959962,5.3839193046769655e-05,0.007337519543195075,2539.9,1211420.0899999999,1100.6453061727016,,,,,,,0.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = 0.75)",True,1.9853057146072388,0.0023603999767038888,0.04858394772662972,2999.0,0.0,0.0,461674.1,9607978.889999999,3099.6739973745625,0.0,0.0,0.0,0.0,28,28,0.012696099281311036,3.679290688353376e-05,0.0060657156942551934,2981.7,415138.80999999994,644.312664783178,1.249251651763916,0.0016514400842174838,0.04063791436845011,289700.0,3610000.0,1900.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.05, gamma = 1, epsilon = 0.9)",True,4.327580142021179,0.032221198745879184,0.17950264272672753,2894.5,11906.85,109.11851355292556,1003100.9,1639682958.69,40492.998884868975,977833.3333333334,1088472222.2222223,32992.00239788762,0.6,28,28,0.01075860857963562,3.764769080927266e-05,0.006135771411100047,2099.9,1713585.6900000002,1309.0399879300862,2.9608671188354494,0.0067811411482671235,0.08234768453494684,686100.0,35690000.0,5974.110812497539,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.1, gamma = 1, epsilon = 0.9)",True,2.2499270915985106,0.023533775655616866,0.15340722165405665,1503.7,8883.01,94.24972148499963,527028.1,917422447.6899999,30288.98228217647,526900.0,916890000.0,30280.1915449688,1.0,28,28,0.016857719421386717,5.684830665813935e-05,0.007539781605467054,3517.5,3192971.05,1786.8886506998695,1.5039103507995606,0.0026924435820296824,0.05188876161588059,354100.0,8890000.0,2981.610303175115,1.0
