Algorithm,Goal reached,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence action,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go,Convergence rate Optimal Initial Cost2Go
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0)",True,0.33216075897216796,0.00011442930539033113,0.010697163427298432,2999.0,0.0,0.0,103263.5,9583.45,97.8950969150141,0.0,0.0,0.0,0.0,29,29,0.003381943702697754,1.9149688853303813e-07,0.0004376035746346665,991.9,2817.8900000000003,53.08380167244995,0.09049484729766846,5.0258331605732564e-05,0.007089311081179367,27900.0,90000.0,300.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0)",True,0.31103668212890623,3.4060098132613346e-05,0.005836102991947053,2999.0,0.0,0.0,98369.3,28735.010000000002,169.51404071639612,0.0,0.0,0.0,0.0,29,29,0.0038332700729370116,3.7699216420605813e-07,0.0006139968763813527,1050.7,24.01,4.9,0.06367321014404297,6.639544333211234e-06,0.002576731327323676,20100.0,90000.0,300.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0)",True,0.30551211833953856,8.268540584651873e-05,0.00909315159042885,2999.0,0.0,0.0,96413.8,2654883.96,1629.3814654647326,0.0,0.0,0.0,0.0,29,31,0.0033216476440429688,2.0984759885323e-07,0.00045809125603227794,1046.6,1733.6399999999999,41.63700277397498,0.05033674240112305,4.057589264903073e-06,0.0020143458652632303,16000.0,0.0,0.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0)",True,0.30452442169189453,8.976905518238709e-05,0.00947465330143468,2999.0,0.0,0.0,95497.2,43998.96000000001,209.75929061664945,0.0,0.0,0.0,0.0,29,30,0.003213977813720703,5.505979765985102e-07,0.0007420228949287955,1015.1,6974.69,83.51460950037425,0.047736191749572755,9.901706317236858e-06,0.0031466976844363136,14700.0,210000.0,458.257569495584,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.25)",True,0.4234312534332275,7.766059962023065e-05,0.008812525155721864,2999.0,0.0,0.0,136151.9,300800.69000000006,548.4529970744986,0.0,0.0,0.0,0.0,29,31,0.004733562469482422,6.291630370469647e-07,0.000793197980990222,1411.1,66082.88999999998,257.0659253965799,0.09656312465667724,1.3464642727853971e-05,0.00366941994433098,30800.0,160000.0,400.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.25)",True,0.4046586513519287,7.830262225297702e-05,0.008848876892181121,2999.0,0.0,0.0,130875.1,472541.09,687.4162421706371,0.0,0.0,0.0,0.0,29,29,0.004640626907348633,8.348687979378157e-06,0.0028894096247119683,1373.0,158012.4,397.5077357737834,0.07145299911499023,5.370000453694956e-06,0.0023173261431432036,22600.0,240000.0,489.89794855663564,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0.25)",True,0.4013378620147705,0.00012439197450930806,0.011153115013721864,2999.0,0.0,0.0,128105.8,105503.35999999999,324.8128076292559,0.0,0.0,0.0,0.0,29,29,0.003929591178894043,5.112035461252162e-07,0.0007149849971329581,1251.4,17035.840000000004,130.52141586728212,0.057932043075561525,1.0154017038530581e-05,0.003186536840918457,18100.0,90000.0,300.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0.25)",True,0.3970606565475464,0.00010278436597502604,0.010138262473176852,2999.0,0.0,0.0,127570.9,100174.89,316.50417058863536,0.0,0.0,0.0,0.0,29,29,0.0039492368698120115,8.982011996749861e-07,0.0009477347728531364,1311.8,41521.96,203.7693794464713,0.05184063911437988,2.1653805356436348e-06,0.001471523202550213,16800.0,160000.0,400.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.5)",True,0.632571792602539,0.0003326350115935384,0.018238284228335143,2999.0,0.0,0.0,205580.9,1972807.6900000002,1404.5667267880156,0.0,0.0,0.0,0.0,29,29,0.005191826820373535,3.628573102218979e-06,0.0019048813879659224,1622.2,334413.36,578.2848433082091,0.11129288673400879,4.666658099722553e-05,0.006831294240275816,35800.0,360000.0,600.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.5)",True,0.620166563987732,0.0004576497993690509,0.0213927510939816,2999.0,0.0,0.0,200313.1,1186189.4900000002,1089.1232666691133,0.0,0.0,0.0,0.0,29,30,0.0055829048156738285,2.315197630196053e-06,0.00152157734939636,1697.9,142233.69,377.13882059528163,0.08447747230529785,3.612999312053944e-05,0.006010822998603389,27200.0,360000.0,600.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0.5)",True,0.6045868158340454,0.00013519623473086997,0.011627391570376821,2999.0,0.0,0.0,199227.1,648088.89,805.0396822517508,0.0,0.0,0.0,0.0,29,29,0.004120516777038574,1.7640303218513506e-06,0.001328168032235135,1376.9,109499.09000000001,330.9064671474403,0.0686495065689087,1.4163502026462996e-05,0.0037634428421942315,22500.0,250000.0,500.0,1.0
