Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.11687362670898438,1.2670469930981199e-06,0.0011256318195120997,999.0,0.0,0.0,36008.0,0.0,0.0,0.0,0.0,0.0,0.0,24,24,0.005265529155731201,2.4628842027141216e-09,4.9627454122835295e-05,1615.0,0.0,0.0,0.051708316802978514,2.194317607973062e-07,0.00046843543930546734,16000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.25",True,False,0.15673402547836304,2.530066553134702e-06,0.0015906182927197532,999.0,0.0,0.0,48378.99,44468.7699,210.8761956694022,0.0,0.0,0.0,0.0,24,24,0.0077582263946533205,5.2462180343809444e-06,0.0022904624062361173,2411.44,509562.04639999993,713.8361481460573,0.0620045018196106,2.5055825208880834e-06,0.0015829031937828932,19250.0,187500.0,433.0127018922193
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.22881084203720092,8.856955787285871e-06,0.0029760638076637186,999.0,0.0,0.0,72961.02,362085.61960000003,601.7355063480965,0.0,0.0,0.0,0.0,24,24,0.0097902512550354,6.931416601554474e-06,0.0026327583636852193,3142.12,715876.8256,846.0950452520095,0.07292171239852906,4.140178439291731e-06,0.0020347428435288158,23390.0,357900.0,598.247440445841
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.75",True,False,0.47538186311721803,4.554773991273464e-05,0.006748906571640671,999.0,0.0,0.0,156573.97,3021732.8091000007,1738.3132079979146,0.0,0.0,0.0,0.0,24,24,0.011284818649291992,1.773512603099334e-05,0.004211309301273576,3729.0,1941881.28,1393.514004235336,0.09782748222351074,1.4682638216072517e-05,0.0038317930810617263,32440.0,1466400.0,1210.9500402576482
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",True,False,0.48235934495925903,0.009690151325670346,0.0984385662515985,353.97,6830.7491,82.64834602095797,163299.26,1087167239.3924003,32972.2192063622,163020.0,1091679600.0,33040.575055528316,1.0,24,24,0.009522321224212647,3.8704205106222385e-05,0.006221270377199691,3224.56,4454114.9264,2110.4774166998327,0.1340889811515808,4.695852785786769e-05,0.0068526292660458215,45590.0,5261900.0,2293.8831705211146
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.3002947425842285,0.0010351347499742132,0.03217351006611205,69.22,95.63159999999999,9.779141066576347,106857.69,129702635.8739,11388.706505740676,106450.0,129347500.0,11373.104237630112,1.0,24,24,0.005716786384582519,2.0094301030235327e-05,0.00448266673200622,2018.84,2545589.5744,1595.4903868090212,0.18735615491867066,0.00042166568945055475,0.020534499980534096,66620.0,51935600.0,7206.63583095469
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.3199790596961975,0.0014268907464411028,0.03777420742306982,69.18,110.74759999999996,10.523668561865675,108522.88,160489094.62559998,12668.429051212308,108100.0,161590000.0,12711.805536586846,1.0,24,24,0.005378217697143555,2.5483964621207635e-05,0.0050481644804035095,1817.58,2934420.983600001,1713.0151731960814,0.1942442226409912,0.0004946220045859263,0.022240099023743718,65910.0,55981900.0,7482.105318692059
Model-free Dijkstra,True,False,0.0021964526176452637,2.5051218141811665e-07,0.0005005119193566889,278.0,0.0,0.0,3711.0,0.0,0.0,879.0,0.0,0.0,1.0,24,24,,,,,,,,,,,,
Model-free Value Iteration,True,False,0.022428419589996338,2.1511369015456699e-07,0.00046380350381876914,26.0,0.0,0.0,30808.0,0.0,0.0,27976.0,0.0,0.0,1.0,24,24,,,,,,,,,,,,
Model-free Synchronous Value Iteration,True,False,0.024489917755126954,1.3476589765559767e-08,0.00011608871506550396,30.0,0.0,0.0,35112.0,0.0,0.0,32280.0,0.0,0.0,1.0,24,24,,,,,,,,,,,,
