Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.155053551197052,2.4396503486684653e-06,0.0015619380105076081,536.0,0.0,0.0,47034.0,0.0,0.0,47000.0,0.0,0.0,1.0,39,39,0.007604610919952392,6.471855584777587e-09,8.044784387898527e-05,2256.0,0.0,0.0,0.15494686126708984,2.4448877981285475e-06,0.0015636136984973454,47000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.25",True,False,0.1931687045097351,2.9557691342296265e-05,0.005436698570115531,573.22,1004.3516000000001,31.691506748654284,58498.82,2500733.2875999995,1581.3706989823731,58470.0,2489100.0,1577.6881821196482,1.0,39,39,0.024723422527313233,2.139304458452784e-05,0.0046252615693091175,7439.02,1940124.5996,1392.883555649933,0.19307367086410523,2.9397274058800342e-05,0.005421925309223684,58470.0,2489100.0,1577.6881821196482
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",False,True,0.3058759188652039,0.001817929284707242,0.04263718195081896,776.15,27273.227499999994,165.14607927528886,94648.92,174276202.11360002,13201.371220960344,90395.06172839506,121621704.0085353,11028.223066683739,0.81,19,39,0.029572801589965822,3.167345012557235e-05,0.005627917032577181,9111.72,3036964.8815999995,1742.6889801682914,0.2902587843529972,0.0012988655402964978,0.03603977719543363,89802.46913580247,124133821.06386222,11141.535848520267
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.75",False,True,0.6457200694084168,0.00694765074896265,0.0833525689403911,927.77,20462.4171,143.04690524439877,208466.2,708918522.3600001,26625.52388893034,172407.40740740742,843426611.7969823,29041.807998073782,0.27,2,41,0.03128068923950195,7.972149668271414e-05,0.008928689527736651,10109.74,8400492.3724,2898.3602903020874,0.5330537601753518,0.008096792044509207,0.08998217626013058,172407.40740740742,843426611.7969823,29041.807998073782
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",False,True,0.8787221145629883,0.04866781578002914,0.2206078325446065,462.81,18008.9339,134.1973691992507,288878.7,5105469845.309999,71452.5705997342,288540.0,5106028400.0,71456.47906243351,1.0,2,39,0.026971473693847656,0.00018292203112005152,0.013524867138720866,8897.2,20065956.0,4479.503990398937,0.8774086380004883,0.048658768236146344,0.22058732564711497,288450.0,5104087500.0,71442.8967777763
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",False,True,0.49418953895568846,0.0010544038740007637,0.032471585640383556,85.22,45.0116,6.709068489738348,171824.0,126707949.2,11256.462552685012,171320.0,126537600.0,11248.893278896374,1.0,2,39,0.009089827537536621,6.228943953090038e-05,0.007892365901990377,3126.5,7478405.23,2734.6672978627585,0.49014859437942504,0.001055842751540348,0.032493734035046636,170420.0,126743600.0,11258.04601163097
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",False,True,0.5169091939926147,0.0008414351573622979,0.029007501742864688,88.14,43.0804,6.56356610387981,175936.5,94719995.47,9732.419815749832,175430.0,95085100.0,9751.158905484004,1.0,2,39,0.010181887149810791,0.00013175510289358385,0.011478462566632512,3433.76,15080857.5424,3883.4079804213206,0.512487711906433,0.0008814948113361197,0.029689978298006885,174430.0,99405100.0,9970.21062967077
Model-free Dijkstra,True,False,0.003072037696838379,2.2779359007927268e-07,0.0004772772675073397,400.0,0.0,0.0,5782.0,0.0,0.0,1518.0,0.0,0.0,1.0,39,39,,,,,,,,,,,,
Model-free Value Iteration,True,False,0.02973156213760376,6.032142156243482e-07,0.0007766686652777671,26.0,0.0,0.0,43784.0,0.0,0.0,39520.0,0.0,0.0,1.0,39,39,,,,,,,,,,,,
Model-free Synchronous Value Iteration,True,False,0.04270735502243042,5.883423814964316e-07,0.0007670347981000807,39.0,0.0,0.0,63544.0,0.0,0.0,59280.0,0.0,0.0,1.0,39,39,,,,,,,,,,,,
