Algorithm,Goal reached,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence action,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go,Convergence rate Optimal Initial Cost2Go
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0)",True,1.093386173248291,6.42124825276369e-05,0.008013269153575019,2999.0,0.0,0.0,265864.5,3547.45,59.560473470247025,0.0,0.0,0.0,0.0,64,64,0.01267397403717041,7.324586661638932e-06,0.002706397358415599,3043.6,479190.63999999996,692.2359713276969,0.4506190776824951,2.94869821368593e-05,0.005430191721924678,108600.0,1040000.0,1019.803902718557,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0)",True,0.9983639240264892,0.0001194032726266414,0.010927180451820196,2999.0,0.0,0.0,245282.3,2113009.41,1453.6194171790635,0.0,0.0,0.0,0.0,64,66,0.011007237434387206,1.5898802422498194e-06,0.001260904533360801,2628.2,95937.76000000001,309.7382120436547,0.31740775108337405,1.8368371879660117e-05,0.004285833860482709,77400.0,640000.0,800.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0)",True,0.9884067058563233,0.00018798357421928813,0.013710710201127005,2999.0,0.0,0.0,238648.8,5128072.76,2264.5248419922445,0.0,0.0,0.0,0.0,64,732,0.01058790683746338,4.005567785156927e-06,0.002001391462247435,2517.0,249177.4,499.17672221368656,0.2506550312042236,1.1134717717595776e-05,0.0033368724455087847,60200.0,360000.0,600.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0)",True,0.9745458602905274,0.00025735570630104116,0.016042309880470493,2999.0,0.0,0.0,236186.2,13597651.959999999,3687.499418305039,0.0,0.0,0.0,0.0,64,68,0.01043088436126709,2.5918322199913746e-06,0.0016099168363587525,2499.5,180900.25,425.3237002566398,0.22497615814208985,1.3106796463944193e-05,0.0036203309881755554,54400.0,240000.0,489.89794855663564,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.25)",True,1.4110371112823485,0.00018569526672763457,0.01362700505348239,2999.0,0.0,0.0,348377.5,350609.65,592.1230024243274,0.0,0.0,0.0,0.0,64,65,0.012176036834716797,4.432334338844157e-05,0.006657577892029621,3008.3,2705254.01,1644.7656398405213,0.4841709852218628,5.1388351403716106e-05,0.0071685669002748455,120300.0,810000.0,900.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.25)",True,1.326472020149231,5.119199797093188e-05,0.00715485834737012,2999.0,0.0,0.0,328034.1,199375.09000000003,446.51437826793443,0.0,0.0,0.0,0.0,64,66,0.01045536994934082,3.0787718890223915e-05,0.005548668208698725,2569.2,1858553.9600000002,1363.2879226341001,0.35493266582489014,1.2140889182887804e-05,0.003484377876018588,88000.0,400000.0,632.4555320336759,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0.25)",True,1.2935026168823243,9.423179948043979e-05,0.009707306499768089,2999.0,0.0,0.0,317433.5,188368.25,434.0141126737701,0.0,0.0,0.0,0.0,64,66,0.01035902500152588,2.49660520745465e-05,0.004996604054209869,2543.2,1517581.7600000002,1231.9016843888153,0.2801170587539673,4.371429252501002e-06,0.002090796320185446,69200.0,360000.0,600.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0.25)",True,1.284264373779297,0.00015141960635446593,0.012305267423118684,2999.0,0.0,0.0,314350.1,272695.49,522.2025373358501,0.0,0.0,0.0,0.0,64,64,0.010144877433776855,3.3895444358336144e-05,0.00582197941926422,2500.3,2045468.4100000001,1430.1987309461579,0.2590242624282837,3.04623099765422e-05,0.005519267159373806,63700.0,1210000.0,1100.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.5)",True,2.0867692708969114,0.0006375273344707466,0.02524930364328384,2999.0,0.0,0.0,522868.9,1228679.0900000003,1108.457978454754,0.0,0.0,0.0,0.0,64,64,0.016430187225341796,4.83479643071405e-05,0.006953270044169182,4159.4,3197460.04,1788.144300664798,0.5549517869949341,7.409528294886059e-05,0.00860786169433853,139900.0,2090000.0,1445.683229480096,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.5)",True,2.0080302000045775,0.00022087152724964198,0.014861747112962257,2999.0,0.0,0.0,506411.5,2863097.85,1692.0691031988026,0.0,0.0,0.0,0.0,64,65,0.012903285026550294,2.293264649381399e-05,0.004788804286438734,3257.2,1439811.5599999998,1199.9214807644705,0.41520521640777586,5.907739004499035e-05,0.007686181759820044,105200.0,1360000.0,1166.19037896906,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0.5)",True,1.9742876291275024,0.0005171469897874203,0.022740866073820063,2999.0,0.0,0.0,499243.9,2713882.8899999997,1647.3866850257104,0.0,0.0,0.0,0.0,64,64,0.017902827262878417,6.612400422284281e-05,0.00813166675552084,4556.8,4422290.359999999,2102.924240195067,0.339837908744812,4.084545473972412e-05,0.006391044886380014,86400.0,1040000.0,1019.803902718557,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0.5)",True,1.9571210145950317,0.00020003583680647808,0.014143402589422323,2999.0,0.0,0.0,497801.8,1515467.9600000002,1231.0434435875934,0.0,0.0,0.0,0.0,64,66,0.014069819450378418,4.0085878861759735e-05,0.006331341000274724,3591.5,2664627.65,1632.3687236650915,0.3077301263809204,1.311816857935355e-05,0.003621901238210886,79000.0,800000.0,894.4271909999159,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.75)",True,1.7354690551757812,0.06288948897530192,0.25077776810415614,1096.0,38803.6,196.98629393945154,450865.8,4407288172.16,66387.40974130562,450700.0,4414010000.0,66438.01622565201,1.0,64,64,0.02503073215484619,0.00017062976412773878,0.013062532837384134,6515.9,11317686.69,3364.1769706720247,0.7000864505767822,0.00019362454917427386,0.01391490385070173,182900.0,8090000.0,2844.2925306655784,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.75)",True,1.3808653831481934,0.0388779991401043,0.19717504695093724,855.1,22923.49,151.4050527558443,358532.3,2774547964.4100003,52673.97805757602,358300.0,2775210000.0,52680.26195834641,1.0,64,64,0.03022761344909668,7.563393691953024e-05,0.008696777387028499,7891.0,5141556.4,2267.500033076075,0.5398845195770263,0.000124588387948279,0.011161916858151157,140800.0,4960000.0,2227.105745132009,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0.75)",True,0.9914836883544922,0.03461574701345853,0.18605307579682345,588.2,18299.36,135.2751270559374,259864.7,2342407575.8100004,48398.42534432293,259700.0,2344410000.0,48419.107798471465,1.0,64,64,0.019396400451660155,0.00016251493731488155,0.012748134660211335,5107.1,11069872.89,3327.141849996781,0.45052247047424315,0.00010584582624687754,0.010288140077141131,118400.0,7240000.0,2690.724809414742,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0.75)",True,1.0656480550765992,0.09705706778243495,0.31153983337999486,635.5,50030.85,223.67576980978515,277977.4,6585319692.84,81149.98270387985,277800.0,6590360000.0,81181.03226739606,1.0,64,64,0.03294384479522705,0.00022685362157801592,0.015061660651402816,8637.4,15929398.84,3991.1650980634713,0.42571852207183836,0.00014910165932008112,0.012210719033704819,111500.0,11050000.0,3324.1540277189324,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.9)",True,1.0931386709213258,0.022055196472677494,0.14850992045206102,240.8,1647.36,40.58768286069063,292922.7,1482331991.6100001,38501.06481137892,292300.0,1483010000.0,38509.86886500654,1.0,64,64,0.041509485244750975,0.000840505543785639,0.028991473639427834,11124.4,59201215.44000001,7694.232608909092,0.8834368228912354,0.0009263010029167164,0.030435193492348894,237300.0,58410000.0,7642.643521714198,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.9)",True,0.8508115768432617,0.010016389773877563,0.10008191531879056,180.0,783.0,27.982137159266443,228609.2,683529311.1600001,26144.393493825784,228200.0,686960000.0,26209.921785461323,1.0,64,65,0.02909419536590576,0.00025994279652024943,0.016122741594414066,7792.1,18714329.29,4326.006159265148,0.6852009773254395,0.0006526511765719079,0.025547038508835187,184200.0,52160000.0,7222.1880341071155,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0.9)",True,0.7437155723571778,0.008736383118864524,0.09346862103863801,155.2,787.16,28.05637182530913,200486.4,630134973.24,25102.48938332611,200000.0,632400000.0,25147.56449439985,1.0,64,66,0.04066264629364014,0.00029574983267650624,0.017197378657124063,10932.5,21086060.65,4591.956081018197,0.6057878255844116,0.0006119727711967471,0.024738083418016584,163200.0,51360000.0,7166.589146867567,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0.9)",True,0.6568944215774536,0.0012207509119826908,0.034939246013368556,124.7,92.00999999999999,9.59218431849597,177198.7,83511529.21,9138.464269777498,176800.0,81960000.0,9053.17623820502,1.0,64,64,0.04534008502960205,0.00028993357716956326,0.017027436012787223,12226.6,20991938.04,4581.6959785651425,0.5662358522415161,0.0008475826802629172,0.029113273266036528,152600.0,53240000.0,7296.57453878188,1.0
