Algorithm,Goal reached,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence action,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go,Convergence rate Optimal Initial Cost2Go
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0)",True,0.3877406597137451,1.7997865822962917e-05,0.004242389164487732,2999.0,0.0,0.0,93117.7,18603.41,136.3943180634736,0.0,0.0,0.0,0.0,22,23,0.005637526512145996,9.630151964756806e-08,0.0003103248614719228,1360.5,6233.45,78.95220072930204,0.14533765316009523,1.5398118313214582e-06,0.0012408915469618842,35100.0,90000.0,300.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0)",True,0.3587087631225586,2.1297757350566825e-05,0.00461494933347776,2999.0,0.0,0.0,85458.8,404941.95999999996,636.3505009033936,0.0,0.0,0.0,0.0,22,24,0.0055416345596313475,5.434208162569121e-08,0.0002331138812376715,1326.6,2550.6400000000003,50.50386123852314,0.10479950904846191,1.578440878802212e-06,0.0012563601708117829,25100.0,90000.0,300.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0)",True,0.3513688087463379,6.663930319291466e-05,0.008163289973589978,2999.0,0.0,0.0,82509.5,744827.65,863.0339796323202,0.0,0.0,0.0,0.0,22,8008,0.005841803550720215,2.5486593870027717e-07,0.0005048424890005567,1386.8,19800.96,140.71588396481755,0.0851595640182495,4.302140012555356e-06,0.0020741600739950994,20300.0,210000.0,458.257569495584,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0)",True,0.3454892158508301,4.4903207319748615e-05,0.006700985548391268,2999.0,0.0,0.0,82803.0,1650017.4,1284.5300307894713,0.0,0.0,0.0,0.0,22,24,0.005705642700195313,2.126781487277185e-07,0.0004611704118086052,1383.5,12910.25,113.62328106510567,0.07997646331787109,1.1753731396311195e-05,0.0034283715370874253,19400.0,640000.0,800.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.25)",True,0.5182243347167969,2.697171130648712e-05,0.005193429628529409,2999.0,0.0,0.0,124913.1,141056.88999999998,375.5754118682425,0.0,0.0,0.0,0.0,22,22,0.00872509479522705,5.898413411387082e-07,0.0007680112897208662,2139.6,32732.840000000004,180.92219322128506,0.15480260848999022,3.08594162333975e-06,0.0017566848389337657,38000.0,0.0,0.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.25)",True,0.48268449306488037,5.866013001707415e-05,0.007658990143424533,2999.0,0.0,0.0,116558.2,221734.96000000002,470.8874175426649,0.0,0.0,0.0,0.0,22,22,0.007554006576538086,2.893260327709868e-06,0.0017009586496178758,1843.5,177408.45,421.19882478468526,0.11392261981964111,3.497633650226817e-06,0.0018701961528745632,28000.0,0.0,0.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0.25)",True,0.4617684125900269,9.092377086346914e-05,0.009535395684682892,2999.0,0.0,0.0,112456.6,187083.64,432.5316635808297,0.0,0.0,0.0,0.0,22,22,0.007570457458496094,3.6020970901518015e-06,0.0018979191474221976,1873.6,215956.04000000004,464.71070570840095,0.09166929721832276,5.508795975970316e-06,0.0023470824391082466,22800.0,160000.0,400.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0.25)",True,0.44819982051849366,2.947861245331751e-05,0.005429421005348315,2999.0,0.0,0.0,111495.7,124816.21,353.29337667157023,0.0,0.0,0.0,0.0,22,22,0.008058905601501465,1.4507591941992359e-06,0.0012044746548596345,2029.1,100826.89,317.53250227338935,0.08447027206420898,4.6128740564199685e-06,0.002147760241837987,21300.0,210000.0,458.257569495584,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.5)",True,0.7418699026107788,0.00022298931710849958,0.014932826829120453,2999.0,0.0,0.0,190104.4,661294.4400000002,813.2001229709697,0.0,0.0,0.0,0.0,22,22,0.008084511756896973,4.462771306066315e-06,0.0021125272320295222,2091.6,312778.44,559.2659832315926,0.16453287601470948,1.9606762401167543e-05,0.004427952393733196,43000.0,600000.0,774.5966692414834,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.5)",True,0.7219876289367676,5.99936130606693e-05,0.007745554406281664,2999.0,0.0,0.0,182127.1,497328.2899999999,705.2150664868129,0.0,0.0,0.0,0.0,22,22,0.008590269088745116,4.143206567732706e-06,0.0020354868134509507,2203.5,277695.25,526.9679781542708,0.12753803730010987,6.296617062275801e-06,0.002509306091786293,32800.0,160000.0,400.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0.5)",True,0.7042526960372925,7.909215725533158e-05,0.00889337715692591,2999.0,0.0,0.0,180012.9,414901.88999999996,644.1287837071093,0.0,0.0,0.0,0.0,22,24,0.008526062965393067,1.7861931547713538e-06,0.0013364853739459156,2220.8,127845.36000000002,357.5546951167052,0.10304949283599854,7.232109651909014e-06,0.0026892581973304488,26900.0,290000.0,538.5164807134504,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0.5)",True,0.7094246864318847,3.277085672607427e-05,0.005724583541715002,2999.0,0.0,0.0,180887.0,200656.0,447.9464253680344,0.0,0.0,0.0,0.0,22,22,0.0057168245315551754,2.8614484500621985e-06,0.001691581641559815,1465.4,193424.44,439.800454751925,0.09918417930603027,6.8202785905668855e-06,0.002611566309816177,25700.0,410000.0,640.3124237432849,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.75)",True,1.5832292795181275,0.0009110161652353099,0.030183044333455,2999.0,0.0,0.0,418947.0,20474665.0,4524.893921408545,0.0,0.0,0.0,0.0,22,22,0.010385775566101074,1.893370369373315e-05,0.004351287590326931,2775.2,1379754.16,1174.6293713337836,0.2021644115447998,4.8958357103856544e-05,0.006997024875177774,54200.0,1960000.0,1400.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.75)",True,1.5551363468170165,0.0004613601883670526,0.021479296738186115,2999.0,0.0,0.0,407866.7,12542897.01,3541.5952634370856,0.0,0.0,0.0,0.0,22,22,0.0103865385055542,1.2240196816151182e-05,0.0034985992648703256,2756.1,823937.2899999999,907.7099151160572,0.15783591270446778,9.4447012065757e-06,0.003073223260125385,42100.0,490000.0,700.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0.75)",True,1.5864574909210205,0.0007491299556591002,0.02737023850205,2999.0,0.0,0.0,418641.3,8998543.41,2999.757225176731,0.0,0.0,0.0,0.0,22,22,0.011839580535888673,1.4869847823320014e-05,0.003856144165266648,3167.1,1041873.4899999999,1020.7220434574732,0.1339733600616455,1.5013179802281228e-05,0.0038746844777712195,36000.0,800000.0,894.4271909999159,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0.75)",True,1.6446588039398193,0.00025469503714248276,0.015959167808582087,2999.0,0.0,0.0,435356.9,9142978.690000001,3023.735882976554,0.0,0.0,0.0,0.0,22,22,0.009621429443359374,1.2734316542264423e-05,0.003568517415154986,2572.9,954921.6900000001,977.2009465816128,0.12632160186767577,1.2729705347283015e-05,0.0035678712627115645,33900.0,690000.0,830.6623862918075,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.9)",True,0.9292221784591674,0.007070292585308949,0.08408503187434103,627.1,3771.29,61.41082966383047,253732.0,545929498.4,23365.134247420876,253500.0,545050000.0,23346.305917639304,1.0,22,22,0.010857534408569337,5.643239510163767e-05,0.007512149832214322,2970.4,4268716.24,2066.0871811228103,0.26079182624816893,9.910166278132236e-05,0.009954981807181887,71500.0,5250000.0,2291.28784747792,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.9)",True,0.8096309185028077,0.01949147132675989,0.13961185954910812,547.8,10892.76,104.36838601798918,221837.7,1408290326.41,37527.19449159503,221500.0,1411650000.0,37571.93101239275,1.0,22,22,0.0076359987258911135,3.2598005566910616e-05,0.005709466311916606,2099.6,2507431.4400000004,1583.4871139355698,0.20371732711791993,5.8544717139739086e-05,0.007651451962845946,56200.0,3760000.0,1939.0719429665317,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0.9)",True,0.6369814872741699,0.006769069497704549,0.08227435504277472,398.9,3597.4900000000002,59.97907968617058,174166.5,490831906.45,22154.72650361543,173800.0,493760000.0,22220.711059729838,1.0,22,23,0.010923147201538086,4.887555277264255e-05,0.006991105261161682,2978.0,3673378.6,1916.6060106344235,0.17967751026153564,2.8640028158974925e-05,0.005351637894978969,49300.0,3410000.0,1846.6185312619389,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0.9)",True,0.6021432161331177,0.008194965561279445,0.09052604907582924,346.7,3146.0099999999998,56.08930379314758,164209.0,578301959.0,24047.909659677283,163900.0,574690000.0,23972.692798265278,1.0,22,24,0.009862232208251952,2.6463775677711963e-05,0.0051442954500798225,2694.7,2031315.6099999999,1425.242298698716,0.16331970691680908,5.2953980494407914e-05,0.0072769485702736635,44700.0,4010000.0,2002.4984394500786,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 1)",True,0.930054783821106,0.010695129350156662,0.10341725847341275,157.9,345.48999999999995,18.587361297397756,258966.0,820870661.6,28650.840504250482,258400.0,836040000.0,28914.356295791888,1.0,22,22,0.006187152862548828,2.287423636516905e-05,0.0047827017850968975,1706.9,1771399.2899999998,1330.9392510554342,0.43163156509399414,0.003469581242609365,0.058903151380969125,120600.0,277440000.0,16656.53025092561,1.0
