Algorithm,Goal reached,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Shortest Path,Longest Path
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.9)",True,210.52437925338745,0.6703251455765363,0.8187338673687172,999999.0,0.0,0.0,47120169.666666664,880162340.2222223,29667.53006608778,0.0,0.0,0.0,9,13
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.9)",True,161.33909686406454,25.945497772168903,5.093672326737253,999999.0,0.0,0.0,37363782.666666664,86636784.8888889,9307.888315235035,0.0,0.0,0.0,6,8
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.9)",True,133.80632026990256,22.143467716237726,4.705684617166532,999999.0,0.0,0.0,31069649.333333332,467796838.22222215,21628.611564828247,0.0,0.0,0.0,6,8
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.9)",True,0.7658316294352213,0.000142451971227173,0.011935324512855651,6331.333333333333,18840.888888888887,137.2621174573993,186351.33333333334,17525281.555555556,4186.320765965689,186333.33333333334,17555555.555555556,4189.935029992178,6,6
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.9)",True,0.7627514203389486,0.003311560017866416,0.05754615554375823,6212.0,182952.0,427.7288860949188,181700.33333333334,137849628.2222222,11740.938132117986,181666.66666666666,137555555.55555555,11728.408057172786,6,6
"Stochastic-problem (0.9999 success) Q-learning (converging, alpha = 0.01, gamma = 1, epsilon = 0.9)",True,0.7255418300628662,0.002382067754789811,0.0488064314900179,5685.0,292352.6666666667,540.6964644480919,160017.66666666666,320216893.5555555,17894.605152267417,160000.0,320666666.6666667,17907.168024751056,6,6
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.9)",True,212.53781294822693,0.7415322785192681,0.8611226849405769,999999.0,0.0,0.0,47166730.666666664,483924411.5555555,21998.282013729062,0.0,0.0,0.0,11,17
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.9)",True,163.27476620674133,40.63860665859537,6.374841696747879,999999.0,0.0,0.0,37419512.666666664,193867694.22222224,13923.637966502225,0.0,0.0,0.0,13,18
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.9)",True,124.89117391904195,0.4974497997000576,0.7053012120364303,999999.0,0.0,0.0,31196374.666666668,38916802.88888889,6238.333342238846,0.0,0.0,0.0,6,7
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.9)",True,0.35530908902486164,0.003631508169494029,0.06026199606297512,2994.6666666666665,205888.22222222225,453.74907407312935,87682.33333333333,206996916.22222224,14387.387400852951,87666.66666666667,206888888.88888887,14383.632673594278,6,6
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.9)",True,0.39697949091593426,6.179316439000912e-05,0.007860862827324308,3303.6666666666665,1868.2222222222224,43.22293629801453,96029.33333333333,2001357.5555555553,1414.6934493223453,96000.0,2000000.0,1414.213562373095,6,6
"Stochastic-problem (0.9999 success) Q-learning (converging, alpha = 0.02, gamma = 1, epsilon = 0.9)",True,0.2960035800933838,0.0012092043721546968,0.03477361603507315,2618.0,82782.0,287.71861253662405,75033.0,66900316.666666664,8179.261376595485,75000.0,66666666.666666664,8164.96580927726,6,6
