Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.13404425144195556,0.00013871461116334559,0.011777716721136809,999.0,0.0,0.0,33372.0,0.0,0.0,0.0,0.0,0.0,0.0,22,22,0.004127247333526611,1.7670793197629566e-05,0.0042036642584332975,1207.0,0.0,0.0,0.08029797554016113,8.96031684911577e-05,0.009465895017966219,20000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.25",True,False,0.17403873443603515,0.0002219498713458506,0.014897982123289402,999.0,0.0,0.0,43944.19,73554.75390000001,271.2097968363238,0.0,0.0,0.0,0.0,22,22,0.007994599342346191,1.612870871733776e-05,0.004016056363814851,2080.62,232159.6556,481.8294880971898,0.09792056560516357,0.00012729248711796116,0.011282397223904199,24800.0,960000.0,979.7958971132713
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.2518117833137512,0.0005767524985072385,0.024015671935368337,999.0,0.0,0.0,64768.71,208336.46590000004,456.4388961295915,0.0,0.0,0.0,0.0,22,22,0.00979048252105713,2.655331006010329e-05,0.005152990399768205,2493.58,641690.1836,801.0556682278705,0.11496292114257813,0.00018472017139324636,0.013591179911738582,30000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.75",True,False,0.48493399858474734,0.0015478689699283392,0.039342965952357214,999.0,0.0,0.0,130175.2,2728971.259999999,1651.9598239666723,0.0,0.0,0.0,0.0,22,22,0.009595303535461426,3.896532013502565e-05,0.006242220769487863,2632.86,1272569.8604,1128.082381920753,0.15237390518188476,0.0003370133219897071,0.0183579225946104,41100.0,6790000.0,2605.7628441590764
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",True,False,1.106750361919403,0.002627427508270392,0.0512584384103768,999.0,0.0,0.0,316378.63,42350098.9731,6507.695365726641,0.0,0.0,0.0,0.0,22,22,0.006953203678131103,3.2748545803968914e-05,0.005722634516022224,2153.4,1843584.6400000004,1357.7866695471716,0.19467297077178955,0.0005409322376531009,0.023257949988189003,55900.0,18190000.0,4264.973622427225
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.4735685729980469,0.00856837423175116,0.09256551318796412,125.78,648.5515999999999,25.466676265268696,144392.83,731725263.0211002,27050.420754973482,143450.0,732847500.0,27071.15623685106,1.0,22,22,0.0037992167472839355,2.4717790594485224e-05,0.004971698964587983,1206.62,1115210.6956,1056.035366642614,0.25717768430709836,0.0009175365322231472,0.03029086549148352,78700.0,56810000.0,7537.240874484509
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.4786564087867737,0.011713857535385723,0.10823057578792475,119.67,673.4611000000001,25.95112906984974,138020.12,805969588.9056,28389.60353554801,137100.0,805590000.0,28382.917397617886,1.0,22,22,0.004676444530487061,2.198101724758885e-05,0.004688391754918615,1102.02,591011.6396000001,768.7728140354601,0.2681342911720276,0.0014663255197363636,0.03829263009687848,78150.0,74327500.0,8621.339803070054
Model-free Dijkstra,True,False,0.0031041622161865233,1.4515751256567456e-05,0.0038099542328704494,291.0,0.0,0.0,4494.0,0.0,0.0,1009.0,0.0,0.0,1.0,22,22,,,,,,,,,,,,
Model-free Value Iteration,True,False,0.015166928768157959,2.194879870136788e-05,0.0046849545036604014,15.0,0.0,0.0,22175.0,0.0,0.0,18690.0,0.0,0.0,1.0,22,22,,,,,,,,,,,,
Model-free Synchronous Value Iteration,True,False,0.024801633358001708,2.5235733404650773e-05,0.0050235180306883315,29.0,0.0,0.0,39619.0,0.0,0.0,36134.0,0.0,0.0,1.0,22,22,,,,,,,,,,,,
