Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.37794348239898684,0.0007996647070786139,0.028278343428825774,999.0,0.0,0.0,104558.0,0.0,0.0,0.0,0.0,0.0,0.0,91,91
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.25",True,False,0.4993699264526367,0.0011383142578712067,0.03373891311040127,999.0,0.0,0.0,139126.42,156070.6636,395.05779779672747,0.0,0.0,0.0,0.0,91,91
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.7385488820075988,0.00184447841187245,0.042947391211486295,999.0,0.0,0.0,207738.28,713329.6816000001,844.5884687822822,0.0,0.0,0.0,0.0,91,91
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.75",True,False,1.4170806908607483,0.004179300778854776,0.06464751177620665,999.0,0.0,0.0,419116.18,6867681.047600001,2620.626079317689,0.0,0.0,0.0,0.0,91,91
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",True,False,3.7954555344581604,0.01432525264759085,0.11968814748165689,999.0,0.0,0.0,1074286.64,110761327.27039999,10524.320751022366,0.0,0.0,0.0,0.0,91,91
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,9.535951581001282,0.04910485229956182,0.22159614685179393,999.0,0.0,0.0,2945103.48,76131888.7696,8725.35894789435,0.0,0.0,0.0,0.0,91,91
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,10.416835596561432,0.0444458787319744,0.2108219123620085,999.0,0.0,0.0,2940121.1,17636649.71,4199.601137012895,0.0,0.0,0.0,0.0,91,91
Model-free Dijkstra,True,False,0.0010401272773742675,3.6714110568652814e-06,0.0019160926535179037,136.0,0.0,0.0,1092.0,0.0,0.0,333.0,0.0,0.0,1.0,91,91
Model-free Value Iteration,True,False,0.019422681331634523,1.659503151774402e-05,0.004073699978857552,86.0,0.0,0.0,29827.0,0.0,0.0,29068.0,0.0,0.0,1.0,91,91
Model-free Synchronous Value Iteration,True,False,0.022280404567718504,6.209436495845466e-06,0.002491874093096492,93.0,0.0,0.0,32193.0,0.0,0.0,31434.0,0.0,0.0,1.0,91,91
