Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.2982876062393188,0.0003548224730440098,0.018836732016037437,999.0,0.0,0.0,101214.0,0.0,0.0,0.0,0.0,0.0,0.0,64,64,0.006120450496673584,1.8068730212860372e-06,0.0013441997698579022,2015.0,0.0,0.0,0.1530044674873352,0.00015208909322993235,0.012332440684225177,52000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.25",True,False,0.39698961019515994,0.00044681931937008695,0.02113810112971567,999.0,0.0,0.0,133139.2,182676.19999999995,427.4063640143885,0.0,0.0,0.0,0.0,64,64,0.008911149501800537,2.4321134586961076e-05,0.004931646234976823,3046.76,2660423.3024,1631.0804095445449,0.18482028484344482,0.00013598457546370354,0.011661242449400644,61960.0,1178400.0,1085.541339608953
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.5738003993034363,0.0002938697735415814,0.017142630298223823,999.0,0.0,0.0,200169.42,1062006.0236,1030.5367647978408,0.0,0.0,0.0,0.0,64,64,0.014065878391265869,4.195395877133593e-05,0.0064771875664779025,4878.06,5145572.6764,2268.3854779115477,0.2257600212097168,0.0001458875931879447,0.012078393650976304,78600.0,3500000.0,1870.8286933869706
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.75",True,False,0.9264071774482727,0.0368635293763328,0.1919987744136217,746.81,33419.353899999995,182.80961107119066,333304.13,4722706332.9531,68721.94942631575,313674.6987951807,3463882130.9333725,58854.75453124728,0.83,64,64,0.020960183143615724,5.805286855295436e-05,0.007619243305798441,7685.22,6958398.4716,2637.877645305028,0.31141003370285036,0.00026517498825157304,0.016284194430538253,112850.0,13047500.0,3612.1323342314026
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",True,False,0.5455432868003846,0.0026486776222019383,0.051465305033604324,138.01,306.14990000000006,17.497139766258943,203946.4,340948041.46,18464.778402677894,203550.0,342227500.0,18499.391881897092,1.0,64,64,0.03325472116470337,0.0003232076301391032,0.01797797625260149,12237.4,42453152.8,6515.608398300193,0.42777745485305785,0.0006787949480129725,0.026053693557977004,160460.0,53848400.0,7338.146905043534
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,1.6900608921051026,0.2978536871757646,0.5457597339267204,225.85,5192.907499999999,72.06183108969685,658601.97,44532628243.2491,211027.55327977694,658130.0,44528853100.0,211018.6084211532,1.0,64,64,0.0649273681640625,0.005637218070819791,0.07508140962195496,25902.0,887461400.36,29790.290370521736,1.1195737099647523,0.07866460873074572,0.2804721175638422,437430.0,11746345100.0,108380.55683562435
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,1.7819905614852904,0.19847774264675425,0.4455084091762514,234.26,3349.4924000000005,57.87479935170403,685022.72,28788118999.001606,169670.61913897056,684550.0,28773587500.0,169627.79106030945,1.0,64,64,0.04722060918807983,0.0025475112354525825,0.05047287623518777,18366.34,380237000.4844,19499.66667623834,1.1818849897384645,0.061769614911477026,0.24853493700378831,455760.0,9003862400.0,94888.68425687017
Model-free Dijkstra,True,False,0.0022858238220214845,3.941719425256451e-07,0.0006278311417297211,331.0,0.0,0.0,4423.0,0.0,0.0,1157.0,0.0,0.0,1.0,64,64,,,,,,,,,,,,
Model-free Value Iteration,True,False,0.03124638557434082,1.024637107402668e-05,0.003200995325524028,56.0,0.0,0.0,69570.0,0.0,0.0,66304.0,0.0,0.0,1.0,64,64,,,,,,,,,,,,
Model-free Synchronous Value Iteration,True,False,0.035007612705230715,7.591981014064685e-06,0.0027553549706099004,67.0,0.0,0.0,82594.0,0.0,0.0,79328.0,0.0,0.0,1.0,64,64,,,,,,,,,,,,
