Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.09962070226669312,3.1390461332983936e-05,0.005602719101738363,999.0,0.0,0.0,36008.0,0.0,0.0,0.0,0.0,0.0,0.0,24,24,0.004539473056793213,8.820240603370166e-07,0.0009391613601171082,1615.0,0.0,0.0,0.04390387773513794,1.1399569266694699e-05,0.0033763248165267954,16000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.25",True,False,0.1328332853317261,4.4580274953182215e-05,0.006676846183130342,999.0,0.0,0.0,48334.76,54058.042400000006,232.50385459170352,0.0,0.0,0.0,0.0,24,24,0.007099812030792236,5.798640139408915e-06,0.002408036573519787,2506.74,555756.1324,745.4905313952686,0.053025352954864505,1.6876715081224342e-05,0.0041081279290236744,19210.0,185900.0,431.161222746202
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.19455961227416993,6.904133956450097e-05,0.00830911183969147,999.0,0.0,0.0,72881.83,342794.60109999997,585.486636141253,0.0,0.0,0.0,0.0,24,24,0.008355848789215088,7.266279165440893e-06,0.002695603673658443,3144.14,743138.9803999999,862.0550912789738,0.06282703638076782,1.9360820063747043e-05,0.004400093188075344,23600.0,460000.0,678.2329983125268
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.75",True,False,0.40403433084487916,0.00015324855657433434,0.012379360103589133,999.0,0.0,0.0,155996.59,3300317.561899999,1816.6776163920772,0.0,0.0,0.0,0.0,24,24,0.010030536651611329,1.2825197108304564e-05,0.0035812284356494997,3788.48,1391189.4096,1179.4869264218235,0.08430219888687134,3.2455052296853636e-05,0.00569693358719001,32320.0,1417600.0,1190.6300852909774
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",True,False,0.4159588599205017,0.008914596017709863,0.09441713836857091,354.04,8915.438400000001,94.4215992239064,162631.68,1409780221.8176,37547.04012059539,162350.0,1412447500.0,37582.542489831634,1.0,24,24,0.006937699317932129,1.9374503144013033e-05,0.004401647776005372,2749.6,2635556.04,1623.4395707878998,0.11662610530853272,0.00012074657590258084,0.010988474684986121,45710.0,8565900.0,2926.755883226341
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.28885846376419066,0.004081469033174351,0.06388637595899732,69.1,113.18999999999998,10.639078907499464,107219.29,189278515.6059,13757.85287048455,106770.0,189117100.0,13751.985311219612,1.0,24,24,0.005410549640655518,2.336092761935901e-05,0.00483331435139067,1930.98,2235170.9996,1495.04882850026,0.178637375831604,0.0012756273080292658,0.03571592513192492,66030.0,89669100.0,9469.376959441419
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.2907824492454529,0.001789431242678455,0.04230166950226025,69.18,110.74759999999996,10.523668561865675,108522.88,160489094.62559998,12668.429051212308,108100.0,161590000.0,12711.805536586846,1.0,24,24,0.005010421276092529,2.105915692920348e-05,0.0045890257058773904,1817.58,2934420.983600001,1713.0151731960814,0.17748590230941771,0.0008222145060495393,0.028674283008464908,65910.0,55981900.0,7482.105318692059
Model-free Dijkstra,True,False,0.0020022988319396973,5.455953969146776e-07,0.0007386442966101326,278.0,0.0,0.0,3711.0,0.0,0.0,879.0,0.0,0.0,1.0,24,24,,,,,,,,,,,,
Model-free Value Iteration,True,False,0.015197656154632568,2.987925145242799e-06,0.0017285615827163344,26.0,0.0,0.0,30808.0,0.0,0.0,27976.0,0.0,0.0,1.0,24,24,,,,,,,,,,,,
Model-free Synchronous Value Iteration,True,False,0.01692824125289917,4.705419817918256e-06,0.002169197966511645,30.0,0.0,0.0,35112.0,0.0,0.0,32280.0,0.0,0.0,1.0,24,24,,,,,,,,,,,,
