Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.19984074354171752,0.0009163451045413411,0.03027119265145232,999.0,0.0,0.0,46110.0,0.0,0.0,0.0,0.0,0.0,0.0,32,32,0.005374619960784912,1.777300080481723e-05,0.004215803696190944,1325.0,0.0,0.0,0.09682688236236572,0.0003426943665485624,0.018512006010926056,22000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.25",True,False,0.24968506813049315,0.0014372573686565373,0.03791117735782598,999.0,0.0,0.0,60346.73,127147.57709999997,356.57758917239875,0.0,0.0,0.0,0.0,32,32,0.018241209983825682,5.550445473134004e-05,0.0074501311888677535,4507.92,1389669.7936000002,1178.8425652308285,0.10920325994491577,0.00037094909730973885,0.019260038870930113,26390.0,317900.0,563.826214360418
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.32714357376098635,0.00045179221055491325,0.02125540426703085,999.0,0.0,0.0,88865.26,267294.71239999996,517.00552453528,0.0,0.0,0.0,0.0,32,32,0.020472004413604736,3.607128742339114e-05,0.006005937680611674,5679.62,1691785.0156,1300.6863632713307,0.12355846643447876,0.0002008029554916164,0.014170495950799195,34000.0,1220000.0,1104.536101718726
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.75",True,False,0.6641435647010803,0.002191018007916335,0.0468083113123763,999.0,0.0,0.0,186235.89,5749496.477900001,2397.810767742109,0.0,0.0,0.0,0.0,32,32,0.022806336879730226,5.967992744364778e-05,0.007725278470297869,6655.36,3883646.6704000006,1970.6970011648164,0.1755021905899048,0.00038653679679262037,0.01966053907685698,49460.0,10688400.0,3269.3118541980666
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",True,False,1.5266669845581056,0.11568121709634546,0.3401194159355585,792.59,37292.9019,193.11370199962508,432415.73,9435930428.9571,97138.7174557967,385652.17391304346,6662255828.607436,81622.64286708337,0.69,32,32,0.02002351760864258,0.00014756510856282147,0.01214763798286817,5820.14,13227683.140400002,3636.9881963514813,0.24782190322875977,0.0008607522297711512,0.029338579205052707,71010.0,31369900.0,5600.8838588208555
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.8764711332321167,0.04494516750995532,0.2120027535433333,134.48,911.7896000000001,30.19585402004719,262882.17,3582061629.6210995,59850.32689652663,262430.0,3583265100.0,59860.38005225159,1.0,32,32,0.01167206048965454,8.950860968304255e-05,0.00946089898915756,3222.0,6431709.48,2536.0815207717596,0.4120057249069214,0.006170917290393868,0.07855518627305182,124800.0,449260000.0,21195.75429183873
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,1.0014114356040955,0.11070482581463523,0.33272334726411257,142.36,1915.7704000000003,43.7695145049611,277054.33,7900622097.8611,88885.44367814732,276550.0,7911607500.0,88947.21749442194,1.0,32,32,0.008531558513641357,9.188895527628917e-05,0.009585872692472458,2578.12,6058662.105599999,2461.43496879361,0.44989790916442873,0.00790795019839834,0.08892665628706806,124020.0,458539600.0,21413.537774034445
Model-free Dijkstra,True,False,0.0026664471626281737,8.745804468497909e-06,0.0029573306322590834,243.0,0.0,0.0,3663.0,0.0,0.0,846.0,0.0,0.0,1.0,32,32,,,,,,,,,,,,
Model-free Value Iteration,True,False,0.016145598888397217,4.629516607039363e-05,0.006804055119588144,21.0,0.0,0.0,24447.0,0.0,0.0,21630.0,0.0,0.0,1.0,32,32,,,,,,,,,,,,
Model-free Synchronous Value Iteration,True,False,0.02417790412902832,4.859469117091065e-05,0.00697098925339228,34.0,0.0,0.0,37837.0,0.0,0.0,35020.0,0.0,0.0,1.0,32,32,,,,,,,,,,,,
