Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Shortest Path,Longest Path
"Normal Q-learning (reward, alpha = 0.001, gamma = 0.01 and termination goal, initial values = 0)",False,True,0.07362019300460815,2.1449690845491884e-05,0.004631381094823863,999.0,0.0,0.0,23598.16,7.0943999999999985,2.6635314903338383,2,3
"Normal Q-learning (reward, alpha = 0.01, gamma = 0.001 and termination goal, initial values = 0)",False,True,0.05318026781082153,1.6381671277139277e-05,0.004047427735876118,999.0,0.0,0.0,17398.16,13.814399999999996,3.716772793701546,2,5
"Normal Q-learning (reward, alpha = 0.01, gamma = 0.01 and termination goal, initial values = 0)",False,True,0.04043020486831665,1.5388651084157348e-05,0.003922837121798119,999.0,0.0,0.0,13159.32,103.13759999999998,10.15566836796082,2,5
"Normal Q-learning (reward, alpha = 0.1, gamma = 0.1 and termination goal, initial values = 0)",True,False,0.014800066947937012,2.459522296453543e-06,0.001568286420413549,999.0,0.0,0.0,4879.68,1007.6576000000001,31.743622981632075,5,5
"Normal Q-learning (reward, alpha = 0.3, gamma = 0.1 and termination goal, initial values = 0)",True,False,0.014930076599121093,5.266227176525717e-06,0.002294826175666845,999.0,0.0,0.0,4575.46,1121.9884000000002,33.49609529482504,5,5
"Normal Q-learning (reward, alpha = 0.3, gamma = 0.5 and termination goal, initial values = 0)",True,False,0.013440067768096925,2.323936654255476e-06,0.001524446343514745,999.0,0.0,0.0,4508.5,988.35,31.438034289694386,5,5
"Normal Q-learning (reward, alpha = 0.3, gamma = 0.6 and termination goal, initial values = 0)",True,False,0.014990172386169433,8.441307338921434e-06,0.0029053928028618496,999.0,0.0,0.0,4507.0,973.48,31.200641019056004,5,5
"Normal Q-learning (reward, alpha = 0.6, gamma = 0.6 and termination goal, initial values = 0)",True,False,0.014730353355407715,6.039650302432165e-06,0.0024575699994979117,999.0,0.0,0.0,4473.46,1563.6684000000002,39.543247211123166,5,5
"Normal Q-learning (reward, alpha = 0.9, gamma = 0.6 and termination goal, initial values = 0)",True,False,0.014439575672149658,1.8263689883667665e-06,0.0013514321989529354,999.0,0.0,0.0,4458.8,950.7199999999997,30.833747744962817,5,5
"Normal Q-learning (reward, alpha = 0.999, gamma = 0.6 and termination goal, initial values = 0)",True,False,0.013899986743927001,3.1296360644489597e-06,0.0017690777440375423,999.0,0.0,0.0,4458.26,1147.9724,33.88174139562487,5,5
