Algorithm,Goal reached,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence action,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go,Convergence rate Optimal Initial Cost2Go
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0)",True,0.5148148536682129,4.466397518854137e-05,0.0066831111907958984,2999.0,0.0,0.0,92830.0,841.0,29.0,0.0,0.0,0.0,0.0,22,22,0.008001446723937988,9.967582315084655e-07,0.000998377799987793,1335.0,0.0,0.0,0.1962951421737671,1.994513482372895e-06,0.0014122724533081055,35500.0,250000.0,500.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0)",True,0.4695237874984741,0.0003448119139335404,0.018569111824035645,2999.0,0.0,0.0,88053.0,8231161.0,2869.0,0.0,0.0,0.0,0.0,22,24,0.007141470909118652,1.7351808878629527e-08,0.00013172626495361328,1338.5,56.25,7.5,0.1355983018875122,6.4019989309827e-06,0.002530217170715332,25500.0,250000.0,500.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0)",True,0.433782696723938,0.00023181675375383293,0.015225529670715332,2999.0,0.0,0.0,82574.0,146689.0,383.0,0.0,0.0,0.0,0.0,22,24,0.0075293779373168945,2.8027331211433193e-07,0.0005294084548950195,1355.5,9900.25,99.5,0.11144471168518066,0.00016496441281788066,0.012843847274780273,20500.0,250000.0,500.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0)",True,0.434537410736084,0.0006033328972989693,0.024562835693359375,2999.0,0.0,0.0,82844.0,435600.0,660.0,0.0,0.0,0.0,0.0,22,22,0.007472515106201172,2.2848553271614946e-06,0.0015115737915039062,1422.5,8742.25,93.5,0.10170209407806396,2.4316557443171405e-06,0.0015593767166137695,19500.0,250000.0,500.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.25)",True,0.6340138912200928,0.0004913427337669418,0.02216625213623047,2999.0,0.0,0.0,124517.0,1444.0,38.0,0.0,0.0,0.0,0.0,22,22,0.010420083999633789,5.146331716332497e-06,0.002268552780151367,2252.5,52670.25,229.5,0.18619048595428467,6.411654581484072e-06,0.0025321245193481445,38000.0,0.0,0.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.25)",True,0.6273775100708008,5.752572997153038e-05,0.007584571838378906,2999.0,0.0,0.0,116294.5,32220.25,179.5,0.0,0.0,0.0,0.0,22,22,0.012328743934631348,4.467672312102877e-07,0.0006684064865112305,2425.5,6320.25,79.5,0.16431772708892822,0.0001333214908214586,0.011546492576599121,28000.0,0.0,0.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.9, gamma = 1, epsilon = 0.25)",True,0.5803982019424438,0.0017693659863340372,0.04206383228302002,2999.0,0.0,0.0,112524.5,63252.25,251.5,0.0,0.0,0.0,0.0,22,22,0.008432984352111816,4.775587427729988e-07,0.0006910562515258789,1591.0,97344.0,312.0,0.11990869045257568,0.00020263239152029655,0.01423490047454834,23000.0,0.0,0.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0.25)",True,0.5811295509338379,1.1819793144240975e-06,0.001087188720703125,2999.0,0.0,0.0,111358.0,140625.0,375.0,0.0,0.0,0.0,0.0,22,22,0.008969426155090332,4.123865338101496e-06,0.0020307302474975586,1620.0,106929.0,327.0,0.12019574642181396,5.9195893427954616e-05,0.007693886756896973,21000.0,0.0,0.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.5, gamma = 1, epsilon = 0.5)",True,0.9704062938690186,1.7032340338118956e-07,0.0004127025604248047,2999.0,0.0,0.0,191144.0,1974025.0,1405.0,0.0,0.0,0.0,0.0,22,22,0.00871729850769043,2.847084488166729e-07,0.0005335807800292969,1636.0,121.0,11.0,0.20827579498291016,4.1129408202777995e-05,0.00641322135925293,42500.0,250000.0,500.0,1.0
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.7, gamma = 1, epsilon = 0.5)",True,0.9302642345428467,0.0009810379642658518,0.03132152557373047,2999.0,0.0,0.0,181363.5,100806.25,317.5,0.0,0.0,0.0,0.0,22,22,0.008474946022033691,2.3542077229876668e-06,0.0015343427658081055,1949.0,16900.0,130.0,0.16950535774230957,0.0001651788372782903,0.012852191925048828,32500.0,250000.0,500.0,1.0
