Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.002846715450286865,2.1850325424566109e-10,1.4781855575186124e-05,244.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1.0,5,5,4.414081573486328e-05,1.0982375897583551e-12,1.047968315245435e-06,14.0,0.0,0.0,0.0028418803215026853,2.1552215798692487e-10,1.4680672940533921e-05,1000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.25",True,False,0.002885687351226807,1.7104113680943552e-10,1.3078269641257421e-05,185.0,23.32,4.829078587059854,1002.16,4.534400000000001,2.1294130646729865,1000.0,0.0,0.0,1.0,5,5,5.157709121704102e-05,9.677370940153197e-11,9.837362929237284e-06,16.0,11.52,3.394112549695428,0.0028742504119873046,1.1602592167037075e-10,1.0771532930385105e-05,1000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.002833883762359619,2.1738862301390322e-10,1.4744104686752031e-05,130.11,36.9179,6.076010204073064,1004.0,13.76,3.7094473981982814,1000.0,0.0,0.0,1.0,5,5,5.733966827392578e-05,3.873373088936205e-10,1.968088689296345e-05,18.3,49.06999999999999,7.004998215560087,0.0028171491622924804,1.0258643214910989e-10,1.0128496045766612e-05,1000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.75",True,False,0.002776675224304199,5.052511141911964e-10,2.247779157727014e-05,80.58,35.723600000000005,5.9769222849222325,1006.4,48.56,6.968500556073739,1000.0,0.0,0.0,1.0,5,5,6.331205368041992e-05,7.909345356438281e-10,2.812355837449856e-05,20.98,105.63960000000002,10.278112667216682,0.002753610610961914,1.5263535715348554e-10,1.2354568270623038e-05,1000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",True,False,0.0027606821060180663,1.7084278397305754e-09,4.133313246937105e-05,56.8,27.919999999999995,5.283937925449162,1013.28,204.7616,14.309493352316846,1000.0,0.0,0.0,1.0,5,5,7.71498680114746e-05,3.1971491068816253e-09,5.654333830683881e-05,26.34,438.8844,20.949568014639347,0.002719016075134277,1.7526506326248639e-10,1.3238771214220994e-05,1000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.0026575899124145507,3.723673239619529e-09,6.1021907866106e-05,42.24,32.7424,5.722097517519254,1019.6,503.6,22.441033844277317,1000.0,0.0,0.0,1.0,5,5,6.676912307739258e-05,2.5158935557101357e-09,5.01586837517706e-05,23.6,370.9600000000001,19.26032190800559,0.002600846290588379,1.8077300865115828e-10,1.3445185333462618e-05,1000.0,0.0,0.0
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.0030735039710998533,6.2697055170701785e-09,7.918147205672662e-05,41.89,26.617899999999995,5.1592538220172885,1023.64,582.6704000000001,24.13856665172976,1000.0,0.0,0.0,1.0,5,5,7.055044174194337e-05,4.380755279953517e-09,6.618727430521306e-05,21.64,494.9904000000001,22.248379716284962,0.002997121810913086,7.495529189327499e-10,2.7377964112270107e-05,1000.0,0.0,0.0
Model-free Dijkstra,True,False,2.528190612792969e-05,3.697005013236777e-12,1.9227597388225023e-06,6.0,0.0,0.0,28.0,0.0,0.0,9.0,0.0,0.0,1.0,5,5,,,,,,,,,,,,
Model-free Value Iteration,True,False,7.464885711669922e-05,2.6471980163478293e-12,1.6270212095568482e-06,5.0,0.0,0.0,69.0,0.0,0.0,50.0,0.0,0.0,1.0,5,5,,,,,,,,,,,,
Model-free Synchronous Value Iteration,True,False,8.485317230224609e-05,1.5285195331671276e-12,1.2363330996002362e-06,6.0,0.0,0.0,79.0,0.0,0.0,60.0,0.0,0.0,1.0,5,5,,,,,,,,,,,,
